Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Nov. 18, 2020","July 3, 2020",Class Workout,662,0,4803,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978435687
"Nov. 18, 2020","July 1, 2020",Class Workout,383,0,2780,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978435780
"Nov. 18, 2020","June 30, 2020",Indoor Sport / Other Activity,42,0,485,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978436008
"Nov. 18, 2020","June 30, 2020",Run,458,5.4124652736000005,2207,6.79606100373817,2.619458611707627,8.82868415616,22.905471283199997,,5889,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978435942
"Nov. 18, 2020","June 29, 2020",Indoor Sport / Other Activity,329,0,3765,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978436119
"Nov. 18, 2020","June 28, 2020",Class Workout,962,0,6981,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978436215
"Nov. 18, 2020","June 26, 2020",Indoor Sport / Other Activity,141,0,1621,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978436548
"Nov. 18, 2020","June 26, 2020",Run,402,4.78108743552,1823,6.354887457249662,2.866248608128529,9.44155453824,20.9332202112,,4899,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978436329
"Nov. 18, 2020","June 25, 2020",Indoor Sport / Other Activity,108,0,1243,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978436782
"Nov. 18, 2020","June 25, 2020",Run,412,4.92459264,1810,6.125707120416767,2.736475234629762,9.7947894528,21.9260245248,,4884,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978436692
"Nov. 18, 2020","June 23, 2020",Indoor Sport / Other Activity,132,0,1517,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978436989
"Nov. 18, 2020","June 23, 2020",Run,628,7.526853607680001,2745,6.078234361329833,3.087705301041915,9.87129766656,19.431863193599998,,7414,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978436938
"Nov. 18, 2020","June 21, 2020",Indoor Sport / Other Activity,122,0,1399,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978437160
