,id,name,img,link,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,author,album,whose
38,578B1Pg7SOnYKdOIiBOEq7,Nie ma raju bez węża,https://i.scdn.co/image/ab67616d00001e026c325f6322223c2d70c5e20c,https://p.scdn.co/mp3-preview/7bbf50300f70d33c3eabec6d1fb23a6494397558?cid=774b29d4f13844c495f206cafdad9c86,0.626,0.845,-7.378,0.324,0.0724,0.0,0.419,0.586,159.976,205875.0,SB Maffija,Nie ma raju bez węża,p
39,55f9Wdlb7IccKzqSGyUbVy,Chcemy być sobą - Live,https://i.scdn.co/image/ab67616d00001e0226f88aaba42aca79e8eccf89,https://p.scdn.co/mp3-preview/ff887303ed1dcf899c198901ad23eb6b48b63616?cid=774b29d4f13844c495f206cafdad9c86,0.441,0.682,-7.309,0.0317,0.018,3.52e-05,0.705,0.395,120.714,387483.0,Various Artists,Męskie Granie 2019,p
40,1qGgPWkBSaE0gzMen8ujh8,Kiedy Powiem Sobie Dość,https://i.scdn.co/image/ab67616d00001e02e32295c3b09ad7d007b6c8b8,,0.475,0.564,-4.951,0.0288,0.548,0.000178,0.127,0.264,80.0,320120.0,Tulia,Tulia (Deluxe Edition),p
41,3pe05XBTPu2wpWwkVPzuUX,Trofea,https://i.scdn.co/image/ab67616d00001e02c4aa14d6f01b64808cf9ae31,https://p.scdn.co/mp3-preview/7d75496b127f636166c7bb5e51d425bf307800c5?cid=774b29d4f13844c495f206cafdad9c86,0.758,0.673,-7.51,0.0579,0.00885,1.31e-05,0.158,0.635,109.908,224987.0,Dawid Podsiadło,Malomiasteczkowy,p
42,0ToEFVjtLH2VljQBiy8MLc,Moroder,https://i.scdn.co/image/ab67616d00001e029f29a5163b0396c126a08506,https://p.scdn.co/mp3-preview/96d98e2d6300653d923a6a4ac24150ca771304bc?cid=774b29d4f13844c495f206cafdad9c86,0.552,0.661,-8.396,0.0837,0.00646,0.0,0.253,0.163,101.972,309547.0,Te-Tris,Definitywnie,p
43,06mOIQpur0OhuqijZYwGXe,Zazdrość - Live,https://i.scdn.co/image/ab67616d00001e0226f88aaba42aca79e8eccf89,https://p.scdn.co/mp3-preview/a0745ed3e318303035ef908f692a5d8cbaeeab4d?cid=774b29d4f13844c495f206cafdad9c86,0.538,0.847,-6.965,0.0507,0.000457,0.00157,0.732,0.292,122.926,299658.0,Various Artists,Męskie Granie 2019,p
44,0Ffuq0PzqMtfrlCrRdqMSD,ul. Zapomnienia,https://i.scdn.co/image/ab67616d00001e0246c6461cf9c20a0a8c775ecb,https://p.scdn.co/mp3-preview/9b022923c914258aac9cc5300c4afb06b26f74a6?cid=774b29d4f13844c495f206cafdad9c86,0.615,0.862,-5.955,0.466,0.336,0.0,0.388,0.46,91.958,291213.0,TAU,Egzegeza: Księga pszczół,p
45,0GZfZOUpFBfArX6F50LXyf,Żółte flamastry i grube katechetki,https://i.scdn.co/image/ab67616d00001e020e33698e02004a608a15c177,https://p.scdn.co/mp3-preview/6d849ff05d3ac7a95516b971383c879fd5e0ec6c?cid=774b29d4f13844c495f206cafdad9c86,0.834,0.492,-10.669,0.217,0.678,0.0685,0.109,0.258,130.054,256040.0,Mata,100 dni do matury,p
46,5bx8GGh58lfzYv8tj4NdU7,Stratosfera,https://i.scdn.co/image/ab67616d00001e029f29a5163b0396c126a08506,https://p.scdn.co/mp3-preview/388058de04a90621ec81caa80c37320cb50319db?cid=774b29d4f13844c495f206cafdad9c86,0.568,0.789,-6.74,0.385,0.0242,0.0,0.242,0.437,147.144,256293.0,Te-Tris,Definitywnie,p
47,2O7olsewoD8mc6PEkcWPUG,"Wieża radości, wieża samotności - Live",https://i.scdn.co/image/ab67616d00001e0226f88aaba42aca79e8eccf89,https://p.scdn.co/mp3-preview/4dad839f45fe59671860c5066a05240574fcac6c?cid=774b29d4f13844c495f206cafdad9c86,0.5,0.709,-6.855,0.043,0.00365,0.177,0.752,0.326,119.344,352122.0,Various Artists,Męskie Granie 2019,p
