freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 
M,PAS,PAS_CRD,TOTAL,TOT,BG	570956 	536254 	618037 	678527 	877009 	1455157 	1866085 	1885574 	1290977 	717317 	584000 	633175 	620438 	889134 	293130 	29572 	77248 	156857 	438020 	543762 	404993 
M,PAS,PAS_CRD,TOTAL,TOT,CH	3990345 	3958347 	4710650 	4948984 	4853106 	5160769 	5621555 	5585170 	5108332 	5101639 	3829064 	4326367 	4076384 	3968157 	1790567 	30665 	56059 	276354 	1276911 	1620194 	1042186 
M,PAS,PAS_CRD,TOTAL,TOT,CY	421821 	410208 	564040 	864105 	1128899 	1293838 	1434271 	1483105 	1323131 	1194798 	626571 	516623 	459432 	446049 	230760 	6462 	9690 	40640 	197426 	295724 	244498 
M,PAS,PAS_CRD,TOTAL,TOT,CZ	1015592 	1011909 	1269379 	1434249 	1540267 	1925827 	2171017 	2196935 	1993067 	1643154 	1282563 	1348737 	1088657 	1037299 	444914 	4672 	7663 	37395 	272997 	377416 	: 
M,PAS,PAS_CRD,TOTAL,TOT,DE	14177333 	13965763 	17192573 	19190820 	20253183 	21595042 	22839831 	22756833 	22175455 	21573621 	15703175 	15340457 	14069946 	13659950 	6503935 	265803 	397715 	1323571 	4556602 	5618984 	4300025 
M,PAS,PAS_CRD,TOTAL,TOT,DK	2233010 	2260089 	2652203 	2884516 	3075631 	3401375 	3640974 	3416166 	3273384 	3168106 	2443406 	2331267 	2247098 	2274056 	978517 	30861 	49903 	171539 	654988 	726795 	561537 
M,PAS,PAS_CRD,TOTAL,TOT,EE	204783 	194398 	230699 	265748 	300446 	316964 	318394 	325152 	310000 	315559 	241243 	234617 	213359 	211228 	103004 	2838 	10370 	24788 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,EL	1652468 	1567624 	1957347 	3134121 	5176922 	7632190 	8993720 	9284850 	7690464 	4947216 	2056288 	1995317 	1907871 	1772156 	853676 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,ES	13481499 	13178489 	16164025 	19182226 	20503083 	22809002 	24573047 	24746840 	22655739 	20521364 	14740700 	14632998 	13590385 	13570830 	6577836 	84549 	172988 	663360 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,EU27_2020	63807391 	61851672 	74449178 	85003072 	91218645 	101676918 	110371473 	111156157 	101397811 	92439711 	69955657 	70816582 	65976309 	63202426 	28598775 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,FI	1692000 	1661389 	1888249 	1912984 	2035323 	2142627 	2174155 	2107270 	2028042 	2017173 	1670147 	1958570 	1735159 	1632718 	808213 	22138 	37267 	84496 	227839 	282355 	167194 
M,PAS,PAS_CRD,TOTAL,TOT,FR	11234739 	10790518 	12897321 	14839455 	14652134 	15951619 	17324056 	17325639 	15271003 	14655151 	11688829 	12099468 	11646365 	11144457 	5400553 	140897 	229015 	896556 	4051964 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,HR	226655 	222707 	306168 	702852 	1048276 	1465003 	1868350 	1837031 	1404508 	953021 	314507 	274161 	231176 	224737 	119489 	4478 	15118 	67378 	335301 	547898 	: 
M,PAS,PAS_CRD,TOTAL,TOT,HU	1032569 	998417 	1205927 	1382213 	1460105 	1525779 	1663035 	1675544 	1566297 	1522375 	1309357 	1359132 	1204138 	1144820 	508702 	9483 	22521 	86113 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,IE	2347603 	2286662 	2779886 	3224936 	3462571 	3763063 	4030976 	4008037 	3527592 	3311286 	2588600 	2616298 	2382437 	2338066 	1181236 	24820 	44541 	93620 	: 	: 	: 
