Entity,Code,Date,parks
Uruguay,URY,2020-04-13,-72.571
Uruguay,URY,2020-04-14,-73.143
Uruguay,URY,2020-04-15,-73
Uruguay,URY,2020-04-16,-72.143
Uruguay,URY,2020-04-17,-70.571
Uruguay,URY,2020-04-18,-69.429
Uruguay,URY,2020-04-19,-68.286
Uruguay,URY,2020-04-20,-67.429
Uruguay,URY,2020-04-21,-66.143
Uruguay,URY,2020-04-22,-65.429
Uruguay,URY,2020-04-23,-65
Uruguay,URY,2020-04-24,-65.286
Uruguay,URY,2020-04-25,-66.571
Uruguay,URY,2020-04-26,-66.857
Uruguay,URY,2020-04-27,-67.857
Uruguay,URY,2020-04-28,-69.286
Uruguay,URY,2020-04-29,-69.143
Uruguay,URY,2020-04-30,-68.714
Uruguay,URY,2020-05-01,-69.571
Uruguay,URY,2020-05-02,-67.571
Uruguay,URY,2020-05-03,-66.286
Uruguay,URY,2020-05-04,-65.714
Uruguay,URY,2020-05-05,-64.286
Uruguay,URY,2020-05-06,-64.143
Uruguay,URY,2020-05-07,-63.571
Uruguay,URY,2020-05-08,-60.857
Uruguay,URY,2020-05-09,-59.571
Uruguay,URY,2020-05-10,-58.429
Uruguay,URY,2020-05-11,-57
Uruguay,URY,2020-05-12,-55.286
Uruguay,URY,2020-05-13,-54.143
Uruguay,URY,2020-05-14,-54
Uruguay,URY,2020-05-15,-54.571
Uruguay,URY,2020-05-16,-53.714
Uruguay,URY,2020-05-17,-52.857
Uruguay,URY,2020-05-18,-52
Uruguay,URY,2020-05-19,-50.857
Uruguay,URY,2020-05-20,-49.714
Uruguay,URY,2020-05-21,-51.714
Uruguay,URY,2020-05-22,-53.143
Uruguay,URY,2020-05-23,-55.286
Uruguay,URY,2020-05-24,-57.143
Uruguay,URY,2020-05-25,-59.429
Uruguay,URY,2020-05-26,-61.571
Uruguay,URY,2020-05-27,-62.143
Uruguay,URY,2020-05-28,-59.286
Uruguay,URY,2020-05-29,-56.714
Uruguay,URY,2020-05-30,-55.143
Uruguay,URY,2020-05-31,-57.286
Uruguay,URY,2020-06-01,-56.571
Uruguay,URY,2020-06-02,-55
Uruguay,URY,2020-06-03,-54.857
Uruguay,URY,2020-06-04,-54.857
Uruguay,URY,2020-06-05,-56
Uruguay,URY,2020-06-06,-58.286
Uruguay,URY,2020-06-07,-57.286
Uruguay,URY,2020-06-08,-57
Uruguay,URY,2020-06-09,-57.571
Uruguay,URY,2020-06-10,-57.286
Uruguay,URY,2020-06-11,-57.857
Uruguay,URY,2020-06-12,-56.857
Uruguay,URY,2020-06-13,-55.714
Uruguay,URY,2020-06-14,-54
Uruguay,URY,2020-06-15,-53.571
Uruguay,URY,2020-06-16,-52.286
Uruguay,URY,2020-06-17,-52
Uruguay,URY,2020-06-18,-53
Uruguay,URY,2020-06-19,-53.857
Uruguay,URY,2020-06-20,-52.571
Uruguay,URY,2020-06-21,-54.429
Uruguay,URY,2020-06-22,-54
Uruguay,URY,2020-06-23,-56.286
Uruguay,URY,2020-06-24,-59.286
Uruguay,URY,2020-06-25,-58.714
Uruguay,URY,2020-06-26,-58.143
Uruguay,URY,2020-06-27,-59
Uruguay,URY,2020-06-28,-57.143
Uruguay,URY,2020-06-29,-57.714
Uruguay,URY,2020-06-30,-59
Uruguay,URY,2020-07-01,-57.857
Uruguay,URY,2020-07-02,-57.143
Uruguay,URY,2020-07-03,-56.571
Uruguay,URY,2020-07-04,-56
Uruguay,URY,2020-07-05,-56
Uruguay,URY,2020-07-06,-55
Uruguay,URY,2020-07-07,-52.429
Uruguay,URY,2020-07-08,-51.857
Uruguay,URY,2020-07-09,-51.286
Uruguay,URY,2020-07-10,-51.286
Uruguay,URY,2020-07-11,-50.429
Uruguay,URY,2020-07-12,-51.429
Uruguay,URY,2020-07-13,-52.143
Uruguay,URY,2020-07-14,-52.143
Uruguay,URY,2020-07-15,-51.286
Uruguay,URY,2020-07-16,-52.286
Uruguay,URY,2020-07-17,-52.571
Uruguay,URY,2020-07-18,-53.714
Uruguay,URY,2020-07-19,-50
Uruguay,URY,2020-07-20,-48
Uruguay,URY,2020-07-21,-47.429
Uruguay,URY,2020-07-22,-48.714
Uruguay,URY,2020-07-23,-50
Uruguay,URY,2020-07-24,-51.143
Uruguay,URY,2020-07-25,-50.571
Uruguay,URY,2020-07-26,-51.857
Uruguay,URY,2020-07-27,-53.286
Uruguay,URY,2020-07-28,-53.714
Uruguay,URY,2020-07-29,-52
Uruguay,URY,2020-07-30,-49.286
Uruguay,URY,2020-07-31,-47.429
Uruguay,URY,2020-08-01,-45.286
Uruguay,URY,2020-08-02,-44.714
Uruguay,URY,2020-08-03,-42.571
Uruguay,URY,2020-08-04,-39
Uruguay,URY,2020-08-05,-36.429
Uruguay,URY,2020-08-06,-37.143
Uruguay,URY,2020-08-07,-38.714
Uruguay,URY,2020-08-08,-40.286
Uruguay,URY,2020-08-09,-42.286
Uruguay,URY,2020-08-10,-43.571
Uruguay,URY,2020-08-11,-46.286
Uruguay,URY,2020-08-12,-48.429
Uruguay,URY,2020-08-13,-47
Uruguay,URY,2020-08-14,-44.429
Uruguay,URY,2020-08-15,-43.571
Uruguay,URY,2020-08-16,-41.429
Uruguay,URY,2020-08-17,-41
Uruguay,URY,2020-08-18,-40.143
Uruguay,URY,2020-08-19,-42
Uruguay,URY,2020-08-20,-43.714
Uruguay,URY,2020-08-21,-44.714
Uruguay,URY,2020-08-22,-44
Uruguay,URY,2020-08-23,-42.286
Uruguay,URY,2020-08-24,-40.429
Uruguay,URY,2020-08-25,-43.429
Uruguay,URY,2020-08-26,-44.286
Uruguay,URY,2020-08-27,-44.429
Uruguay,URY,2020-08-28,-44.429
Uruguay,URY,2020-08-29,-48
Uruguay,URY,2020-08-30,-50.143
Uruguay,URY,2020-08-31,-53.714
Uruguay,URY,2020-09-01,-53.429
Uruguay,URY,2020-09-02,-54.286
Uruguay,URY,2020-09-03,-54
Uruguay,URY,2020-09-04,-53.286
Uruguay,URY,2020-09-05,-50.143
Uruguay,URY,2020-09-06,-49.857
Uruguay,URY,2020-09-07,-48.143
Uruguay,URY,2020-09-08,-45
