number-of-people	living-voivodeship	living-county	living-municipality	working-voivodeship	working-county	working-municipality
325	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat chrzanowski	Alwernia - miasto
27	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat chrzanowski	Babice
240	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat chrzanowski	Chrzanów - miasto
58	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski
119	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat chrzanowski	Libiąż - miasto
81	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat chrzanowski	Trzebinia - miasto
32	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski
15	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat krakowski	Czernichów
75	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat krakowski	Krzeszowice - miasto
22	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat krakowski	Krzeszowice - obszar wiejski
17	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat krakowski	Liszki
43	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat krakowski	Zabierzów
31	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat oświęcimski	Brzeszcze - miasto
452	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Małopolskie	Powiat m.Kraków	Kraków
32	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
22	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Śląskie	Powiat m.Katowice	Katowice
11	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski	Śląskie	Powiat m.Tychy	Tychy
94	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat chrzanowski	Alwernia - miasto
31	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski
487	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat chrzanowski	Chrzanów - miasto
96	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski
306	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat chrzanowski	Libiąż - miasto
65	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat chrzanowski	Trzebinia - miasto
21	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski
13	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat oświęcimski	Oświęcim
46	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat oświęcimski	Brzeszcze - miasto
60	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat oświęcimski	Chełmek - miasto
228	Małopolskie	Powiat chrzanowski	Babice	Małopolskie	Powiat m.Kraków	Kraków
21	Małopolskie	Powiat chrzanowski	Babice	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
15	Małopolskie	Powiat chrzanowski	Babice	Śląskie	Powiat m.Częstochowa	Częstochowa
25	Małopolskie	Powiat chrzanowski	Babice	Śląskie	Powiat m.Jaworzno	Jaworzno
38	Małopolskie	Powiat chrzanowski	Babice	Śląskie	Powiat m.Katowice	Katowice
24	Małopolskie	Powiat chrzanowski	Babice	Śląskie	Powiat m.Mysłowice	Mysłowice
25	Małopolskie	Powiat chrzanowski	Babice	Śląskie	Powiat m.Tychy	Tychy
31	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Dolnośląskie	Powiat m.Wrocław	Wrocław
10	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat brzeski	Brzesko - miasto
42	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat chrzanowski	Alwernia - miasto
37	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski
87	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat chrzanowski	Babice
153	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski
566	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat chrzanowski	Libiąż - miasto
18	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski
705	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat chrzanowski	Trzebinia - miasto
96	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski
54	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat krakowski	Krzeszowice - miasto
16	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat krakowski	Krzeszowice - obszar wiejski
76	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat krakowski	Zabierzów
10	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat krakowski	Zielonki
21	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat nowosądecki	Piwniczna-Zdrój - miasto
34	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat olkuski	Bukowno
14	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat olkuski	Olkusz - miasto
44	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat oświęcimski	Oświęcim
103	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat oświęcimski	Brzeszcze - miasto
94	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat oświęcimski	Chełmek - miasto
10	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat oświęcimski	Chełmek - obszar wiejski
961	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Małopolskie	Powiat m.Kraków	Kraków
33	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Mazowieckie	Powiat m.Płock	Płock
104	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
21	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Chorzów	Chorzów
34	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Częstochowa	Częstochowa
10	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Dąbrowa Górnicza	Dąbrowa Górnicza
25	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Gliwice	Gliwice
231	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Jaworzno	Jaworzno
365	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Katowice	Katowice
69	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Mysłowice	Mysłowice
45	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Sosnowiec	Sosnowiec
55	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Tychy	Tychy
16	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Śląskie	Powiat m.Zabrze	Zabrze
28	Małopolskie	Powiat chrzanowski	Chrzanów - miasto	Świętokrzyskie	Powiat jędrzejowski	Jędrzejów - miasto
17	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat chrzanowski	Alwernia - miasto
23	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski
27	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat chrzanowski	Babice
667	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat chrzanowski	Chrzanów - miasto
210	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat chrzanowski	Libiąż - miasto
173	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat chrzanowski	Trzebinia - miasto
35	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski
18	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat nowosądecki	Piwniczna-Zdrój - miasto
11	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat olkuski	Bukowno
65	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat oświęcimski	Brzeszcze - miasto
20	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat oświęcimski	Chełmek - miasto
264	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Małopolskie	Powiat m.Kraków	Kraków
32	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
22	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Śląskie	Powiat m.Częstochowa	Częstochowa
109	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Śląskie	Powiat m.Jaworzno	Jaworzno
100	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Śląskie	Powiat m.Katowice	Katowice
23	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Śląskie	Powiat m.Mysłowice	Mysłowice
29	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski	Śląskie	Powiat m.Sosnowiec	Sosnowiec
11	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat chrzanowski	Alwernia - miasto
18	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski
20	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat chrzanowski	Babice
562	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat chrzanowski	Chrzanów - miasto
78	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski
27	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski
77	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat chrzanowski	Trzebinia - miasto
17	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski
43	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat oświęcimski	Oświęcim
85	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat oświęcimski	Brzeszcze - miasto
420	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat oświęcimski	Chełmek - miasto
31	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat oświęcimski	Chełmek - obszar wiejski
333	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Małopolskie	Powiat m.Kraków	Kraków
28	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
12	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Śląskie	Powiat myszkowski	Myszków
10	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Śląskie	Powiat bieruńsko-lędziński	Bieruń
32	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Śląskie	Powiat m.Częstochowa	Częstochowa
117	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Śląskie	Powiat m.Jaworzno	Jaworzno
72	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Śląskie	Powiat m.Katowice	Katowice
40	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Śląskie	Powiat m.Mysłowice	Mysłowice
13	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Śląskie	Powiat m.Sosnowiec	Sosnowiec
71	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Śląskie	Powiat m.Tychy	Tychy
11	Małopolskie	Powiat chrzanowski	Libiąż - miasto	Śląskie	Powiat m.Zabrze	Zabrze
13	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat chrzanowski	Babice
187	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat chrzanowski	Chrzanów - miasto
26	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski
383	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat chrzanowski	Libiąż - miasto
18	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat chrzanowski	Trzebinia - miasto
53	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat oświęcimski	Oświęcim
67	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat oświęcimski	Brzeszcze - miasto
83	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat oświęcimski	Chełmek - miasto
52	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat oświęcimski	Chełmek - obszar wiejski
93	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Małopolskie	Powiat m.Kraków	Kraków
11	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Śląskie	Powiat m.Bielsko-Biała	Bielsko-Biała
12	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Śląskie	Powiat m.Częstochowa	Częstochowa
14	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Śląskie	Powiat m.Jaworzno	Jaworzno
12	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Śląskie	Powiat m.Katowice	Katowice
20	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Śląskie	Powiat m.Mysłowice	Mysłowice
34	Małopolskie	Powiat chrzanowski	Libiąż - obszar wiejski	Śląskie	Powiat m.Tychy	Tychy
13	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat chrzanowski	Alwernia - miasto
20	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski
20	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat chrzanowski	Babice
825	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat chrzanowski	Chrzanów - miasto
166	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski
148	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat chrzanowski	Libiąż - miasto
129	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski
63	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat krakowski	Krzeszowice - miasto
32	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat krakowski	Krzeszowice - obszar wiejski
83	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat krakowski	Zabierzów
27	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat olkuski	Bukowno
10	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat olkuski	Olkusz - miasto
237	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat oświęcimski	Brzeszcze - miasto
15	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat oświęcimski	Chełmek - miasto
512	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Małopolskie	Powiat m.Kraków	Kraków
71	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
20	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Śląskie	Powiat m.Chorzów	Chorzów
25	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Śląskie	Powiat m.Częstochowa	Częstochowa
15	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Śląskie	Powiat m.Gliwice	Gliwice
68	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Śląskie	Powiat m.Jaworzno	Jaworzno
144	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Śląskie	Powiat m.Katowice	Katowice
14	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Śląskie	Powiat m.Mysłowice	Mysłowice
10	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Śląskie	Powiat m.Sosnowiec	Sosnowiec
14	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Śląskie	Powiat m.Tychy	Tychy
10	Małopolskie	Powiat chrzanowski	Trzebinia - miasto	Śląskie	Powiat m.Zabrze	Zabrze
15	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat chrzanowski	Alwernia - obszar wiejski
13	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat chrzanowski	Babice
542	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat chrzanowski	Chrzanów - miasto
135	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat chrzanowski	Chrzanów - obszar wiejski
124	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat chrzanowski	Libiąż - miasto
595	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat chrzanowski	Trzebinia - miasto
91	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat krakowski	Krzeszowice - miasto
30	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat krakowski	Krzeszowice - obszar wiejski
63	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat krakowski	Zabierzów
27	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat nowosądecki	Piwniczna-Zdrój - miasto
28	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat olkuski	Bukowno
22	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat olkuski	Olkusz - miasto
205	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat oświęcimski	Brzeszcze - miasto
428	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Małopolskie	Powiat m.Kraków	Kraków
15	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Mazowieckie	Powiat m.Płock	Płock
27	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
13	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Śląskie	Powiat m.Chorzów	Chorzów
10	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Śląskie	Powiat m.Częstochowa	Częstochowa
13	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Śląskie	Powiat m.Gliwice	Gliwice
50	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Śląskie	Powiat m.Jaworzno	Jaworzno
225	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Śląskie	Powiat m.Katowice	Katowice
19	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Śląskie	Powiat m.Mysłowice	Mysłowice
12	Małopolskie	Powiat chrzanowski	Trzebinia - obszar wiejski	Śląskie	Powiat m.Tychy	Tychy
45	Małopolskie	Powiat dąbrowski	Bolesław	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto
13	Małopolskie	Powiat dąbrowski	Bolesław	Małopolskie	Powiat dąbrowski	Mędrzechów
13	Małopolskie	Powiat dąbrowski	Bolesław	Małopolskie	Powiat dąbrowski	Olesno
20	Małopolskie	Powiat dąbrowski	Bolesław	Małopolskie	Powiat m.Kraków	Kraków
17	Małopolskie	Powiat dąbrowski	Bolesław	Małopolskie	Powiat m.Tarnów	Tarnów
20	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski
10	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat dąbrowski	Mędrzechów
33	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat dąbrowski	Olesno
17	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat dąbrowski	Radgoszcz
40	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat dąbrowski	Szczucin - miasto
12	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat tarnowski	Lisia Góra
17	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat tarnowski	Skrzyszów
19	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat tarnowski	Tarnów
52	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat tarnowski	Żabno - miasto
32	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat tarnowski	Żabno - obszar wiejski
128	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat m.Kraków	Kraków
11	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat m.Nowy Sącz	Nowy Sącz
256	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Małopolskie	Powiat m.Tarnów	Tarnów
14	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
388	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto
14	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat dąbrowski	Olesno
22	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat dąbrowski	Radgoszcz
17	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat dąbrowski	Szczucin - miasto
24	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat tarnowski	Lisia Góra
19	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat tarnowski	Skrzyszów
11	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat tarnowski	Tarnów
29	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat tarnowski	Żabno - miasto
31	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat tarnowski	Żabno - obszar wiejski
77	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat m.Kraków	Kraków
262	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Małopolskie	Powiat m.Tarnów	Tarnów
17	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
30	Małopolskie	Powiat dąbrowski	Gręboszów	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto
13	Małopolskie	Powiat dąbrowski	Gręboszów	Małopolskie	Powiat tarnowski	Żabno - miasto
28	Małopolskie	Powiat dąbrowski	Gręboszów	Małopolskie	Powiat m.Kraków	Kraków
23	Małopolskie	Powiat dąbrowski	Gręboszów	Małopolskie	Powiat m.Tarnów	Tarnów
93	Małopolskie	Powiat dąbrowski	Mędrzechów	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto
10	Małopolskie	Powiat dąbrowski	Mędrzechów	Małopolskie	Powiat dąbrowski	Olesno
65	Małopolskie	Powiat dąbrowski	Mędrzechów	Małopolskie	Powiat dąbrowski	Szczucin - miasto
23	Małopolskie	Powiat dąbrowski	Mędrzechów	Małopolskie	Powiat m.Kraków	Kraków
51	Małopolskie	Powiat dąbrowski	Mędrzechów	Małopolskie	Powiat m.Tarnów	Tarnów
277	Małopolskie	Powiat dąbrowski	Olesno	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto
15	Małopolskie	Powiat dąbrowski	Olesno	Małopolskie	Powiat dąbrowski	Gręboszów
11	Małopolskie	Powiat dąbrowski	Olesno	Małopolskie	Powiat dąbrowski	Mędrzechów
19	Małopolskie	Powiat dąbrowski	Olesno	Małopolskie	Powiat dąbrowski	Szczucin - miasto
66	Małopolskie	Powiat dąbrowski	Olesno	Małopolskie	Powiat tarnowski	Żabno - miasto
26	Małopolskie	Powiat dąbrowski	Olesno	Małopolskie	Powiat tarnowski	Żabno - obszar wiejski
75	Małopolskie	Powiat dąbrowski	Olesno	Małopolskie	Powiat m.Kraków	Kraków
126	Małopolskie	Powiat dąbrowski	Olesno	Małopolskie	Powiat m.Tarnów	Tarnów
136	Małopolskie	Powiat dąbrowski	Radgoszcz	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto
31	Małopolskie	Powiat dąbrowski	Radgoszcz	Małopolskie	Powiat dąbrowski	Szczucin - miasto
13	Małopolskie	Powiat dąbrowski	Radgoszcz	Małopolskie	Powiat tarnowski	Lisia Góra
39	Małopolskie	Powiat dąbrowski	Radgoszcz	Małopolskie	Powiat m.Kraków	Kraków
147	Małopolskie	Powiat dąbrowski	Radgoszcz	Małopolskie	Powiat m.Tarnów	Tarnów
25	Małopolskie	Powiat dąbrowski	Radgoszcz	Podkarpackie	Powiat mielecki	Mielec
23	Małopolskie	Powiat dąbrowski	Radgoszcz	Świętokrzyskie	Powiat m.Kielce	Kielce
72	Małopolskie	Powiat dąbrowski	Szczucin - miasto	Małopolskie	Powiat dąbrowski	Dąbrowa Tarnowska - miasto
10	Małopolskie	Powiat dąbrowski	Szczucin - miasto	Małopolskie	Powiat dąbrowski	Mędrzechów
38	Małopolskie	Powiat dąbrowski	Szczucin - miasto	Małopolskie	Powiat m.Kraków	Kraków
43	Małopolskie	Powiat dąbrowski	Szczucin - miasto	Małopolskie	Powiat m.Tarnów	Tarnów
10	Małopolskie	Powiat dąbrowski	Szczucin - miasto	Podkarpackie	Powiat mielecki	Mielec
11	Małopolskie	Powiat dąbrowski	Szczucin - miasto	Podkarpackie	Powiat mielecki	Wadowice Górne
