date	voivodeship	region	infected_total
06.04.2020	Mazowieckie	Powiat ciechanowski	1
07.04.2020	Mazowieckie	Powiat ciechanowski	1
08.04.2020	Mazowieckie	Powiat ciechanowski	1
09.04.2020	Mazowieckie	Powiat ciechanowski	1
10.04.2020	Mazowieckie	Powiat ciechanowski	1
11.04.2020	Mazowieckie	Powiat ciechanowski	1
12.04.2020	Mazowieckie	Powiat ciechanowski	1
13.04.2020	Mazowieckie	Powiat ciechanowski	1
14.04.2020	Mazowieckie	Powiat ciechanowski	2
15.04.2020	Mazowieckie	Powiat ciechanowski	3
16.04.2020	Mazowieckie	Powiat ciechanowski	3
17.04.2020	Mazowieckie	Powiat ciechanowski	3
18.04.2020	Mazowieckie	Powiat ciechanowski	3
19.04.2020	Mazowieckie	Powiat ciechanowski	3
20.04.2020	Mazowieckie	Powiat ciechanowski	3
21.04.2020	Mazowieckie	Powiat ciechanowski	3
22.04.2020	Mazowieckie	Powiat ciechanowski	3
23.04.2020	Mazowieckie	Powiat ciechanowski	3
24.04.2020	Mazowieckie	Powiat ciechanowski	3
25.04.2020	Mazowieckie	Powiat ciechanowski	3
26.04.2020	Mazowieckie	Powiat ciechanowski	3
27.04.2020	Mazowieckie	Powiat ciechanowski	3
28.04.2020	Mazowieckie	Powiat ciechanowski	3
29.04.2020	Mazowieckie	Powiat ciechanowski	3
30.04.2020	Mazowieckie	Powiat ciechanowski	3
01.05.2020	Mazowieckie	Powiat ciechanowski	3
02.05.2020	Mazowieckie	Powiat ciechanowski	3
03.05.2020	Mazowieckie	Powiat ciechanowski	3
04.05.2020	Mazowieckie	Powiat ciechanowski	3
05.05.2020	Mazowieckie	Powiat ciechanowski	3
06.05.2020	Mazowieckie	Powiat ciechanowski	3
07.05.2020	Mazowieckie	Powiat ciechanowski	3
08.05.2020	Mazowieckie	Powiat ciechanowski	3
09.05.2020	Mazowieckie	Powiat ciechanowski	3
10.05.2020	Mazowieckie	Powiat ciechanowski	3
11.05.2020	Mazowieckie	Powiat ciechanowski	3
12.05.2020	Mazowieckie	Powiat ciechanowski	3
13.05.2020	Mazowieckie	Powiat ciechanowski	6
14.05.2020	Mazowieckie	Powiat ciechanowski	5
15.05.2020	Mazowieckie	Powiat ciechanowski	5
16.05.2020	Mazowieckie	Powiat ciechanowski	5
17.05.2020	Mazowieckie	Powiat ciechanowski	5
18.05.2020	Mazowieckie	Powiat ciechanowski	5
19.05.2020	Mazowieckie	Powiat ciechanowski	5
20.05.2020	Mazowieckie	Powiat ciechanowski	5
21.05.2020	Mazowieckie	Powiat ciechanowski	5
22.05.2020	Mazowieckie	Powiat ciechanowski	5
23.05.2020	Mazowieckie	Powiat ciechanowski	5
24.05.2020	Mazowieckie	Powiat ciechanowski	5
25.05.2020	Mazowieckie	Powiat ciechanowski	5
26.05.2020	Mazowieckie	Powiat ciechanowski	5
27.05.2020	Mazowieckie	Powiat ciechanowski	5
28.05.2020	Mazowieckie	Powiat ciechanowski	5
29.05.2020	Mazowieckie	Powiat ciechanowski	5
30.05.2020	Mazowieckie	Powiat ciechanowski	5
31.05.2020	Mazowieckie	Powiat ciechanowski	5
01.06.2020	Mazowieckie	Powiat ciechanowski	5
02.06.2020	Mazowieckie	Powiat ciechanowski	5
03.06.2020	Mazowieckie	Powiat ciechanowski	5
04.06.2020	Mazowieckie	Powiat ciechanowski	5
05.06.2020	Mazowieckie	Powiat ciechanowski	5
06.06.2020	Mazowieckie	Powiat ciechanowski	5
07.06.2020	Mazowieckie	Powiat ciechanowski	5
08.06.2020	Mazowieckie	Powiat ciechanowski	5
09.06.2020	Mazowieckie	Powiat ciechanowski	5
10.06.2020	Mazowieckie	Powiat ciechanowski	5
11.06.2020	Mazowieckie	Powiat ciechanowski	6
12.06.2020	Mazowieckie	Powiat ciechanowski	6
13.06.2020	Mazowieckie	Powiat ciechanowski	6
14.06.2020	Mazowieckie	Powiat ciechanowski	6
15.06.2020	Mazowieckie	Powiat ciechanowski	6
16.06.2020	Mazowieckie	Powiat ciechanowski	6
17.06.2020	Mazowieckie	Powiat ciechanowski	6
18.06.2020	Mazowieckie	Powiat ciechanowski	6
19.06.2020	Mazowieckie	Powiat ciechanowski	6
20.06.2020	Mazowieckie	Powiat ciechanowski	6
21.06.2020	Mazowieckie	Powiat ciechanowski	6
22.06.2020	Mazowieckie	Powiat ciechanowski	6
23.06.2020	Mazowieckie	Powiat ciechanowski	6
24.06.2020	Mazowieckie	Powiat ciechanowski	6
25.06.2020	Mazowieckie	Powiat ciechanowski	6
26.06.2020	Mazowieckie	Powiat ciechanowski	6
27.06.2020	Mazowieckie	Powiat ciechanowski	6
28.06.2020	Mazowieckie	Powiat ciechanowski	6
29.06.2020	Mazowieckie	Powiat ciechanowski	6
30.06.2020	Mazowieckie	Powiat ciechanowski	6
01.07.2020	Mazowieckie	Powiat ciechanowski	7
02.07.2020	Mazowieckie	Powiat ciechanowski	7
03.07.2020	Mazowieckie	Powiat ciechanowski	7
04.07.2020	Mazowieckie	Powiat ciechanowski	7
05.07.2020	Mazowieckie	Powiat ciechanowski	7
06.07.2020	Mazowieckie	Powiat ciechanowski	7
07.07.2020	Mazowieckie	Powiat ciechanowski	7
08.07.2020	Mazowieckie	Powiat ciechanowski	7
09.07.2020	Mazowieckie	Powiat ciechanowski	7
10.07.2020	Mazowieckie	Powiat ciechanowski	7
11.07.2020	Mazowieckie	Powiat ciechanowski	7
12.07.2020	Mazowieckie	Powiat ciechanowski	7
13.07.2020	Mazowieckie	Powiat ciechanowski	7
14.07.2020	Mazowieckie	Powiat ciechanowski	7
15.07.2020	Mazowieckie	Powiat ciechanowski	7
16.07.2020	Mazowieckie	Powiat ciechanowski	7
17.07.2020	Mazowieckie	Powiat ciechanowski	7
18.07.2020	Mazowieckie	Powiat ciechanowski	7
19.07.2020	Mazowieckie	Powiat ciechanowski	7
20.07.2020	Mazowieckie	Powiat ciechanowski	7
21.07.2020	Mazowieckie	Powiat ciechanowski	7
22.07.2020	Mazowieckie	Powiat ciechanowski	7
23.07.2020	Mazowieckie	Powiat ciechanowski	7
24.07.2020	Mazowieckie	Powiat ciechanowski	7
25.07.2020	Mazowieckie	Powiat ciechanowski	7
26.07.2020	Mazowieckie	Powiat ciechanowski	7
27.07.2020	Mazowieckie	Powiat ciechanowski	7
28.07.2020	Mazowieckie	Powiat ciechanowski	7
29.07.2020	Mazowieckie	Powiat ciechanowski	7
30.07.2020	Mazowieckie	Powiat ciechanowski	7
31.07.2020	Mazowieckie	Powiat ciechanowski	7
01.08.2020	Mazowieckie	Powiat ciechanowski	7
02.08.2020	Mazowieckie	Powiat ciechanowski	7
