Kod,Nazwa,Powierzchnia,Liczba_ludnosci,Gestosc_zaludnienia
3202000,powiat choszczeński,1327.63,48602,36.61
3203000,powiat drawski,1764.24,57397,32.53
3204000,powiat goleniowski,1615.48,82540,51.09
3205000,powiat gryficki,1017.37,60617,59.58
3206000,powiat gryfiński,1869.11,82530,44.15
3207000,powiat kamieński,1003.44,47227,47.07
3208000,powiat kołobrzeski,724.66,79547,109.77
3209000,powiat koszaliński,1653.46,66355,40.13
3210000,powiat myśliborski,1182.4,66264,56.04
3211000,powiat policki,665.33,79476,119.45
3212000,powiat pyrzycki,726,39639,54.6
3213000,powiat sławieński,1043.2,56409,54.07
3214000,powiat stargardzki,1519.94,120112,79.02
3215000,powiat szczecinecki,1765.42,77965,44.16
3216000,powiat świdwiński,1093.06,47242,43.22
3217000,powiat wałecki,1414.98,53462,37.78
3218000,powiat łobeski,1065.13,37104,34.84
3261000,powiat m.koszalin,98.34,107321,1091.33
3262000,powiat m.szczecin,300.6,402465,1338.87
3263000,powiat m.świnoujście,202.07,40910,202.45
2402000,powiat bielski,458.64,165000,359.76
2003000,powiat bielski,1385.09,54863,39.61
1202000,powiat brzeski,590.52,93206,157.84
1601000,powiat brzeski,875.96,90275,103.06
1405000,powiat grodziski,367.04,94091,256.35
3005000,powiat grodziski,641.87,51972,80.97
1807000,powiat krośnieński,993.11,112414,113.19
802000,powiat krośnieński,1391.25,55245,39.71
2210000,powiat nowodworski,674.08,35746,53.03
1414000,powiat nowodworski,694.79,79291,114.12
612000,powiat opolski,810.02,59726,73.73
1609000,powiat opolski,1534.3,123520,80.51
3017000,powiat ostrowski,1160.12,161519,139.23
1416000,powiat ostrowski,1217.79,72782,59.77
3025000,powiat średzki,623.86,58456,93.7
218000,powiat średzki,704.14,54269,77.07
617000,powiat świdnicki,468.35,72039,153.81
219000,powiat świdnicki,741.14,157615,212.67
1016000,powiat tomaszowski,1024.79,117259,114.42
618000,powiat tomaszowski,1488.89,83715,56.23
