"Kod","Nazwa","Gestosc_zaludnienia","Procent_chorych"
3016000,"powiat obornicki",84.18,0.0172909218483745
3017000,"powiat ostrowski",139.23,0.0229694339365647
3018000,"powiat ostrzeszowski",71.71,0.0263343140263163
3019000,"powiat pilski",107.73,0.0215925809355809
3020000,"powiat pleszewski",88.56,0.0211728189779404
3021000,"powiat poznański",205.44,0.0246062084302653
3064000,"powiat m.poznań",2048.18,0.0233577785317222
3022000,"powiat rawicki",109.13,0.0282261402201804
3023000,"powiat słupecki",70.85,0.016506375166327
3024000,"powiat szamotulski",81.47,0.0169326095300762
3025000,"powiat średzki",93.7,0.0213664978787464
3026000,"powiat śremski",106.82,0.0197472482674276
3027000,"powiat turecki",90.49,0.0181686305751418
3028000,"powiat wągrowiecki",67.59,0.017061786720551
3029000,"powiat wolsztyński",84.34,0.0193280535882497
3030000,"powiat wrzesiński",110.39,0.0208582795781992
3031000,"powiat złotowski",41.93,0.014941240697641
3201000,"powiat białogardzki",56.59,0.0135434519082055
3202000,"powiat choszczeński",36.61,0.0126332249701658
3203000,"powiat drawski",32.53,0.00926877711378643
3204000,"powiat goleniowski",51.09,0.0139205233826024
3205000,"powiat gryficki",59.58,0.0160845967302902
3206000,"powiat gryfiński",44.15,0.0094147582697201
3207000,"powiat kamieński",47.07,0.00690283100768628
3208000,"powiat kołobrzeski",109.77,0.014444290796636
3209000,"powiat koszaliński",40.13,0.0429809358752166
3218000,"powiat łobeski",34.84,0.00948684777921518
3210000,"powiat myśliborski",56.04,0.00411988409996378
3211000,"powiat policki",119.45,0.0170617544919221
3212000,"powiat pyrzycki",54.6,0.0125633845455233
3213000,"powiat sławieński",54.07,0.0154407984541474
3214000,"powiat stargardzki",79.02,0.0150193153057147
3215000,"powiat szczecinecki",44.16,0.0130956198294106
3262000,"powiat m.szczecin",1338.87,0.0163517324487844
3216000,"powiat świdwiński",43.22,0.0112188307014944
3263000,"powiat m.świnoujście",202.45,0.0130041554632119
3217000,"powiat wałecki",37.78,0.0106617784594665
