"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"75","GNB","Africa","Guinea-Bissau",2020-11-29,2422,0,0.143,43,0,0,1230.692,0,0.073,21.85,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,NA,NA,6.403,NA,58.32,0.455
"76","GNQ","Africa","Equatorial Guinea",2020-11-29,5153,7,3.286,85,0,0,3672.883,4.989,2.342,60.585,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1402985,45.194,22.4,2.846,1.752,22604.873,NA,202.812,7.78,NA,NA,24.64,2.1,58.74,0.591
"77","GRC","Europe","Greece",2020-11-29,103034,1747,1844.714,2223,121,99.429,9885.201,167.609,176.984,213.277,11.609,9.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.87
"78","GRD","North America","Grenada",2020-11-29,41,0,0,NA,0,0,364.383,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,112519,317.132,29.4,7.304,5.021,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,0.772
"79","GRL","North America","Greenland",2020-11-29,18,0,0,NA,0,0,317.058,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,56772,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,71.7,NA
"80","GTM","North America","Guatemala",2020-11-29,121798,666,483,4161,20,12.429,6798.445,37.174,26.96,232.256,1.116,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,0.65
"81","GUM","Oceania","Guam",2020-11-29,6782,0,33.286,112,0,0.857,40181.772,0,197.21,663.574,0,5.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,168783,304.128,31.4,9.551,5.493,NA,NA,310.496,21.52,NA,NA,NA,NA,80.07,NA
"82","GUY","South America","Guyana",2020-11-29,5338,28,35,149,0,0.857,6786.522,35.598,44.498,189.433,0,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,786559,3.952,26.3,5.305,2.837,7435.047,NA,373.159,11.62,NA,NA,77.159,1.6,69.91,0.654
"83","HND","North America","Honduras",2020-11-29,107513,379,439.714,2905,6,6.857,10854.847,38.265,44.395,293.298,0.606,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,NA,84.169,0.7,75.27,0.617
"84","HRV","Europe","Croatia",2020-11-29,123693,3987,3326.143,1655,55,50.143,30130.311,971.191,810.213,403.141,13.397,12.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,744319,8217,181.308,2.002,9622,2.344,2.893,0.346,"people tested",NA,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.831
"85","HTI","North America","Haiti",2020-11-29,9264,0,7.143,232,0,0,812.451,0,0.626,20.346,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.498
"86","HUN","Europe","Hungary",2020-11-29,211527,6819,5272.714,4672,156,124.571,21896.412,705.875,545.81,483.626,16.148,12.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639076,16311,169.67,1.688,19461,2.015,3.691,0.271,"tests performed",NA,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,0.838
"87","IDN","Asia","Indonesia",2020-11-29,527999,5418,4955.857,16646,125,124.571,1930.36,19.808,18.119,60.858,0.457,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,3797881,31021,13.885,0.113,34963,0.128,7.055,0.142,"people tested",NA,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
"88","IMN","Europe","Isle of Man",2020-11-29,369,0,0.143,25,0,0,4339.543,0,1.68,294.007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,85032,147.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,NA
"89","IND","Asia","India",2020-11-29,9392919,41810,42444.714,136696,496,495.571,6806.441,30.297,30.757,99.055,0.359,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,139503803,1283449,101.089,0.93,1110096,0.804,26.154,0.038,"samples tested",NA,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64
"90","IRL","Europe","Ireland",2020-11-29,71942,243,257,2050,7,4,14569.658,49.212,52.048,415.165,1.418,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,0.938
"91","IRN","Asia","Iran",2020-11-29,935799,13402,13498.714,47486,391,451.286,11141.399,159.561,160.712,565.357,4.655,5.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,0.798
"92","IRQ","Asia","Iraq",2020-11-29,548821,1606,2180.857,12200,33,39.286,13644.626,39.928,54.22,303.313,0.82,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,70.6,0.685
"93","ISL","Europe","Iceland",2020-11-29,5371,25,14.571,26,0,0,15739.194,73.26,42.7,76.19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.935
"94","ISR","Asia","Israel",2020-11-29,334998,1196,943,2854,15,13.857,38703.3,138.177,108.948,329.731,1.733,1.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,0.903
"95","ITA","Europe","Italy",2020-11-29,1564532,26315,26285.857,54363,686,728.857,25876.36,435.233,434.751,899.129,11.346,12.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.88
"96","JAM","North America","Jamaica",2020-11-29,10669,69,61.286,251,1,2,3602.979,23.302,20.697,84.764,0.338,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2961161,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
"97","JEY","Europe","Jersey",2020-11-29,928,0,16.714,32,0,0,9181.483,0,165.368,316.603,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,101073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","JOR","Asia","Jordan",2020-11-29,210709,3108,4649.714,2626,56,64.857,20651.388,304.612,455.714,257.372,5.489,6.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,74.53,0.735
"99","JPN","Asia","Japan",2020-11-29,144653,2585,2067.714,2106,32,18.857,1143.715,20.439,16.349,16.651,0.253,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,0.909
"100","KAZ","Asia","Kazakhstan",2020-11-29,172969,990,928.714,2433,3,9,9211.892,52.725,49.461,129.575,0.16,0.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.8
"101","KEN","Africa","Kenya",2020-11-29,82605,949,885.857,1445,4,11.286,1536.228,17.649,16.475,26.873,0.074,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
"102","KGZ","Asia","Kyrgyzstan",2020-11-29,72427,456,406.571,1266,4,5,11101.3,69.894,62.318,194.047,0.613,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.672
"103","KHM","Asia","Cambodia",2020-11-29,307,0,0.143,NA,0,0,18.362,0,0.009,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,16718971,90.672,25.6,4.412,2.385,3645.07,NA,270.892,4,2,33.7,66.229,0.8,69.82,0.582
"104","KNA","North America","Saint Kitts and Nevis",2020-11-29,22,0,0.429,NA,0,0,413.596,0,8.057,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,53192,212.865,NA,NA,NA,24654.385,NA,NA,12.84,NA,NA,NA,2.3,76.23,0.778
"105","KOR","Asia","South Korea",2020-11-29,33824,449,441.571,523,1,2.571,659.734,8.758,8.613,10.201,0.02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2984142,10932,58.205,0.213,18469,0.36,41.826,0.024,"people tested",NA,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.903
"106","KWT","Asia","Kuwait",2020-11-29,142195,319,351.571,875,1,1.714,33296.547,74.697,82.324,204.891,0.234,0.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,4270563,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.803
"107","LAO","Asia","Laos",2020-11-29,39,0,2.143,NA,0,0,5.36,0,0.295,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.601
"108","LBN","Asia","Lebanon",2020-11-29,125678,1696,1485,990,10,13.714,18413.167,248.482,217.568,145.046,1.465,2.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,0.757
"109","LBR","Africa","Liberia",2020-11-29,1595,0,6.286,83,0,0.143,315.362,0,1.243,16.411,0,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435
"110","LBY","Africa","Libya",2020-11-29,81273,0,637.857,1153,0,12.143,11827.915,0,92.829,167.8,0,1.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,0.706
"111","LCA","North America","Saint Lucia",2020-11-29,252,6,6.857,2,0,0,1372.332,32.675,37.342,10.892,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,183629,293.187,34.9,9.721,6.405,12951.839,NA,204.62,11.62,NA,NA,87.202,1.3,76.2,0.747
"112","LIE","Europe","Liechtenstein",2020-11-29,1273,0,23.429,15,0,1,33379.658,0,614.327,393.319,0,26.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.916
"113","LKA","Asia","Sri Lanka",2020-11-29,22988,487,459.571,109,2,3.714,1073.541,22.743,21.462,5.09,0.093,0.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.77
"114","LSO","Africa","Lesotho",2020-11-29,2109,0,3.429,44,0,0,984.478,0,1.6,20.539,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,NA,54.33,0.52
"115","LTU","Europe","Lithuania",2020-11-29,60193,1981,2207.571,493,11,17,22111.156,727.696,810.924,181.097,4.041,6.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.858
"116","LUX","Europe","Luxembourg",2020-11-29,33409,0,521,300,0,5.714,53371.056,0,832.3,479.252,0,9.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,0.904
"117","LVA","Europe","Latvia",2020-11-29,16561,753,545.286,193,3,5.714,8780.078,399.215,289.092,102.322,1.59,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,622404,4037,329.977,2.14,6537,3.466,11.988,0.083,"tests performed",NA,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.847
"118","MAR","Africa","Morocco",2020-11-29,349688,4412,4103.714,5739,50,69,9473.929,119.532,111.18,155.484,1.355,1.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,76.68,0.667
"119","MCO","Europe","Monaco",2020-11-29,607,4,3.714,2,0,0,15467.333,101.926,94.646,50.963,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,39244,19347.5,NA,NA,NA,NA,NA,NA,5.46,NA,NA,NA,13.8,86.75,NA
"120","MDA","Europe","Moldova",2020-11-29,105852,1712,1309,2269,19,19.857,26240.201,424.397,324.495,562.474,4.71,4.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.7
"121","MDG","Africa","Madagascar",2020-11-29,17341,0,4.429,251,0,0.143,626.232,0,0.16,9.064,0,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,67.04,0.519
"122","MDV","Asia","Maldives",2020-11-29,12947,14,52.714,46,0,0.143,23951.885,25.9,97.521,85.1,0,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,540542,1454.433,30.6,4.12,2.875,15183.616,NA,164.905,9.19,2.1,55,95.803,NA,78.92,0.717
"123","MEX","North America","Mexico",2020-11-29,1100683,22089,9713.571,105459,1217,583.714,8536.877,171.322,75.338,817.938,9.439,4.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.774
"124","MHL","Oceania","Marshall Islands",2020-11-29,4,0,0,NA,0,0,67.574,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,59194,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.708
"125","MKD","Europe","Macedonia",2020-11-29,60723,1022,1013.143,1699,41,30.286,29146.387,490.549,486.298,815.502,19.68,14.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,NA,NA,NA,4.28,75.8,0.757
"126","MLI","Africa","Mali",2020-11-29,4659,92,64.714,149,0,0.857,230.065,4.543,3.196,7.358,0,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,20250834,15.196,16.4,2.519,1.486,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,59.31,0.427
"127","MLT","Europe","Malta",2020-11-29,9501,0,84,128,0,3,21517.918,0,190.244,289.895,0,6.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.878
"128","MMR","Asia","Myanmar",2020-11-29,87977,1344,1447,1887,22,23.571,1616.933,24.701,26.594,34.681,0.404,0.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.578
"129","MNE","Europe","Montenegro",2020-11-29,34454,618,543,481,7,6.714,54857.641,983.979,864.564,765.848,11.145,10.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,NA,3.861,76.88,0.814
"130","MNG","Asia","Mongolia",2020-11-29,784,24,25.143,NA,0,0,239.149,7.321,7.669,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.741
"131","MNP","Oceania","Northern Mariana Islands",2020-11-29,104,0,0.143,2,0,0,1806.904,0,2.482,34.748,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,57557,119.878,NA,NA,NA,NA,NA,194.994,NA,NA,NA,NA,NA,76.74,NA
"132","MOZ","Africa","Mozambique",2020-11-29,15586,80,86.429,129,1,0.857,498.665,2.56,2.765,4.127,0.032,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.437
"133","MRT","Africa","Mauritania",2020-11-29,8460,34,52,172,0,0.429,1819.488,7.312,11.184,36.992,0,0.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,64.92,0.52
"134","MSR","North America","Montserrat",2020-11-29,13,0,0,1,0,0,2600.52,0,0,200.04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,4999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.16,NA
"135","MUS","Africa","Mauritius",2020-11-29,501,0,1,10,0,0,393.94,0,0.786,7.863,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.79
"136","MWI","Africa","Malawi",2020-11-29,6025,1,3.143,185,0,0,314.951,0.052,0.164,9.671,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.477
"137","MYS","Asia","Malaysia",2020-11-29,63176,1315,1356.714,350,0,2.571,1951.925,40.629,41.918,10.814,0,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.802
"138","NAM","Africa","Namibia",2020-11-29,14285,78,67.714,150,1,0.714,5621.988,30.698,26.65,59.034,0.394,0.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,0.647
"139","NCL","Oceania","New Caledonia",2020-11-29,32,0,0,NA,0,0,112.088,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,285491,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA
"140","NER","Africa","Niger",2020-11-29,1484,12,19,70,0,0,61.306,0.496,0.785,2.892,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.354
"141","NGA","Africa","Nigeria",2020-11-29,67330,110,157.429,1171,0,0.714,326.623,0.534,0.764,5.681,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,206139587,209.588,18.1,2.751,1.447,5338.454,NA,181.013,2.42,0.6,10.8,41.949,NA,54.69,0.532
"142","NIC","North America","Nicaragua",2020-11-29,5784,0,8.429,160,0,0.143,873.115,0,1.272,24.153,0,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,NA,NA,NA,0.9,74.48,0.658
"143","NLD","Europe","Netherlands",2020-11-29,512695,4452,4859.571,9313,59,65,29921.144,259.821,283.607,543.511,3.443,3.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,17134873,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.931
"144","NOR","Europe","Norway",2020-11-29,34747,0,472.714,328,0,3.143,6409.417,0,87.197,60.503,0,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.953
"145","NPL","Asia","Nepal",2020-11-29,230723,1380,1726.286,1454,19,21.286,7918.609,47.363,59.248,49.903,0.652,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.574
"146","NZL","Oceania","New Zealand",2020-11-29,1694,0,3.143,25,0,0,351.29,0,0.652,5.184,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.917
"147","OMN","Asia","Oman",2020-11-29,122579,0,174.143,1391,0,3.714,24003.931,0,34.101,272.391,0,0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5106622,14.98,30.7,2.355,1.53,37960.709,NA,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.821
"148","PAK","Asia","Pakistan",2020-11-29,395185,2829,3001.714,7985,43,46.143,1789.039,12.807,13.589,36.149,0.195,0.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,5475508,40369,24.788,0.183,42212,0.191,14.063,0.071,"tests performed",NA,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
"149","PAN","North America","Panama",2020-11-29,163453,1709,1410.857,3039,9,13.286,37882.222,396.082,326.983,704.325,2.086,3.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,NA,2.3,78.51,0.789
"150","PER","South America","Peru",2020-11-29,960368,2044,1755.286,35879,40,47.143,29126.91,61.992,53.236,1088.171,1.213,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
