"","date","pos","artistName","no","color"
"2124",2020-07-31,4,"           PRO8L3M",192,"#FDB462"
"2125",2020-07-31,5,"         clipping.",152,"#D9D9D9"
"2126",2020-07-31,6,"            Bedoes",143,"#FDB462"
"2127",2020-07-31,7,"     Billie Eilish",119,"#BC80BD"
"2128",2020-07-31,8,"        Charli XCX",117,"#FCCDE5"
"2129",2020-07-31,9,"    Dorian Electra",114,"#FB8072"
"2130",2020-07-31,10,"       Quebonafide",97,"#BC80BD"
"2131",2020-08-01,1,"       Oliver Tree",276,"#80B1D3"
"2132",2020-08-01,2,"        The Weeknd",228,"#80B1D3"
"2133",2020-08-01,3,"     TUZZA Globale",213,"#BC80BD"
"2134",2020-08-01,4,"           PRO8L3M",192,"#FDB462"
"2135",2020-08-01,5,"         clipping.",152,"#D9D9D9"
"2136",2020-08-01,6,"            Bedoes",143,"#FDB462"
"2137",2020-08-01,7,"     Billie Eilish",119,"#BC80BD"
"2138",2020-08-01,8,"        Charli XCX",117,"#FCCDE5"
"2139",2020-08-01,9,"    Dorian Electra",114,"#FB8072"
"2140",2020-08-01,10,"       Quebonafide",97,"#BC80BD"
"2141",2020-08-02,1,"       Oliver Tree",292,"#80B1D3"
"2142",2020-08-02,2,"        The Weeknd",228,"#80B1D3"
"2143",2020-08-02,3,"     TUZZA Globale",213,"#BC80BD"
"2144",2020-08-02,4,"           PRO8L3M",192,"#FDB462"
"2145",2020-08-02,5,"         clipping.",152,"#D9D9D9"
"2146",2020-08-02,6,"            Bedoes",143,"#FDB462"
"2147",2020-08-02,7,"     Billie Eilish",119,"#BC80BD"
"2148",2020-08-02,8,"        Charli XCX",119,"#FCCDE5"
"2149",2020-08-02,9,"    Dorian Electra",114,"#FB8072"
"2150",2020-08-02,10,"       Quebonafide",97,"#BC80BD"
"2151",2020-08-03,1,"       Oliver Tree",317,"#80B1D3"
"2152",2020-08-03,2,"        The Weeknd",228,"#80B1D3"
"2153",2020-08-03,3,"     TUZZA Globale",214,"#BC80BD"
"2154",2020-08-03,4,"           PRO8L3M",192,"#FDB462"
