number-of-people	living-municipality	living-voivodeship	working-municipality	working-voivodeship
35	Kościan	Wielkopolskie	Brodnica	Wielkopolskie
13	Kościan	Wielkopolskie	Śrem - miasto	Wielkopolskie
29	Kościan	Wielkopolskie	Przemęt	Wielkopolskie
142	Kościan	Wielkopolskie	Leszno	Wielkopolskie
797	Kościan	Wielkopolskie	Poznań	Wielkopolskie
25	Czempiń - miasto	Wielkopolskie	Warszawa	Mazowieckie
88	Czempiń - miasto	Wielkopolskie	Kościan	Wielkopolskie
113	Czempiń - miasto	Wielkopolskie	Czempiń - obszar wiejski	Wielkopolskie
38	Czempiń - miasto	Wielkopolskie	Kościan	Wielkopolskie
11	Czempiń - miasto	Wielkopolskie	Oborniki - miasto	Wielkopolskie
20	Czempiń - miasto	Wielkopolskie	Luboń	Wielkopolskie
47	Czempiń - miasto	Wielkopolskie	Puszczykowo	Wielkopolskie
12	Czempiń - miasto	Wielkopolskie	Dopiewo	Wielkopolskie
51	Czempiń - miasto	Wielkopolskie	Komorniki	Wielkopolskie
11	Czempiń - miasto	Wielkopolskie	Kostrzyn - miasto	Wielkopolskie
21	Czempiń - miasto	Wielkopolskie	Kórnik - obszar wiejski	Wielkopolskie
54	Czempiń - miasto	Wielkopolskie	Mosina - miasto	Wielkopolskie
46	Czempiń - miasto	Wielkopolskie	Mosina - obszar wiejski	Wielkopolskie
40	Czempiń - miasto	Wielkopolskie	Stęszew - miasto	Wielkopolskie
13	Czempiń - miasto	Wielkopolskie	Stęszew - obszar wiejski	Wielkopolskie
19	Czempiń - miasto	Wielkopolskie	Tarnowo Podgórne	Wielkopolskie
22	Czempiń - miasto	Wielkopolskie	Brodnica	Wielkopolskie
19	Czempiń - miasto	Wielkopolskie	Śrem - miasto	Wielkopolskie
11	Czempiń - miasto	Wielkopolskie	Śrem - obszar wiejski	Wielkopolskie
356	Czempiń - miasto	Wielkopolskie	Poznań	Wielkopolskie
15	Czempiń - obszar wiejski	Wielkopolskie	Warszawa	Mazowieckie
11	Czempiń - obszar wiejski	Wielkopolskie	Granowo	Wielkopolskie
123	Czempiń - obszar wiejski	Wielkopolskie	Kościan	Wielkopolskie
138	Czempiń - obszar wiejski	Wielkopolskie	Czempiń - miasto	Wielkopolskie
73	Czempiń - obszar wiejski	Wielkopolskie	Kościan	Wielkopolskie
25	Czempiń - obszar wiejski	Wielkopolskie	Oborniki - miasto	Wielkopolskie
11	Czempiń - obszar wiejski	Wielkopolskie	Luboń	Wielkopolskie
12	Czempiń - obszar wiejski	Wielkopolskie	Puszczykowo	Wielkopolskie
87	Czempiń - obszar wiejski	Wielkopolskie	Komorniki	Wielkopolskie
10	Czempiń - obszar wiejski	Wielkopolskie	Kostrzyn - miasto	Wielkopolskie
25	Czempiń - obszar wiejski	Wielkopolskie	Kórnik - obszar wiejski	Wielkopolskie
43	Czempiń - obszar wiejski	Wielkopolskie	Mosina - miasto	Wielkopolskie
57	Czempiń - obszar wiejski	Wielkopolskie	Mosina - obszar wiejski	Wielkopolskie
64	Czempiń - obszar wiejski	Wielkopolskie	Stęszew - miasto	Wielkopolskie
62	Czempiń - obszar wiejski	Wielkopolskie	Stęszew - obszar wiejski	Wielkopolskie
16	Czempiń - obszar wiejski	Wielkopolskie	Tarnowo Podgórne	Wielkopolskie
28	Czempiń - obszar wiejski	Wielkopolskie	Brodnica	Wielkopolskie
30	Czempiń - obszar wiejski	Wielkopolskie	Śrem - miasto	Wielkopolskie
24	Czempiń - obszar wiejski	Wielkopolskie	Śrem - obszar wiejski	Wielkopolskie
192	Czempiń - obszar wiejski	Wielkopolskie	Poznań	Wielkopolskie
14	Kościan	Wielkopolskie	Wrocław	Dolnośląskie
21	Kościan	Wielkopolskie	Olkusz - miasto	Małopolskie
67	Kościan	Wielkopolskie	Warszawa	Mazowieckie
20	Kościan	Wielkopolskie	Wysokie Mazowieckie	Podlaskie
17	Kościan	Wielkopolskie	Granowo	Wielkopolskie
17	Kościan	Wielkopolskie	Grodzisk Wielkopolski - miasto	Wielkopolskie
40	Kościan	Wielkopolskie	Kamieniec	Wielkopolskie
13	Kościan	Wielkopolskie	Wielichowo - obszar wiejski	Wielkopolskie
1081	Kościan	Wielkopolskie	Kościan	Wielkopolskie
50	Kościan	Wielkopolskie	Czempiń - miasto	Wielkopolskie
107	Kościan	Wielkopolskie	Czempiń - obszar wiejski	Wielkopolskie
51	Kościan	Wielkopolskie	Krzywiń - miasto	Wielkopolskie
32	Kościan	Wielkopolskie	Krzywiń - obszar wiejski	Wielkopolskie
62	Kościan	Wielkopolskie	Śmigiel - miasto	Wielkopolskie
80	Kościan	Wielkopolskie	Śmigiel - obszar wiejski	Wielkopolskie
11	Kościan	Wielkopolskie	Lipno	Wielkopolskie
10	Kościan	Wielkopolskie	Włoszakowice	Wielkopolskie
24	Kościan	Wielkopolskie	Opalenica - miasto	Wielkopolskie
10	Kościan	Wielkopolskie	Oborniki - miasto	Wielkopolskie
24	Kościan	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
15	Kościan	Wielkopolskie	Luboń	Wielkopolskie
24	Kościan	Wielkopolskie	Puszczykowo	Wielkopolskie
16	Kościan	Wielkopolskie	Dopiewo	Wielkopolskie
10	Kościan	Wielkopolskie	Kleszczewo	Wielkopolskie
197	Kościan	Wielkopolskie	Komorniki	Wielkopolskie
11	Kościan	Wielkopolskie	Kostrzyn - miasto	Wielkopolskie
22	Kościan	Wielkopolskie	Kórnik - obszar wiejski	Wielkopolskie
16	Kościan	Wielkopolskie	Mosina - miasto	Wielkopolskie
29	Kościan	Wielkopolskie	Mosina - obszar wiejski	Wielkopolskie
54	Kościan	Wielkopolskie	Stęszew - miasto	Wielkopolskie
30	Kościan	Wielkopolskie	Stęszew - obszar wiejski	Wielkopolskie
140	Kościan	Wielkopolskie	Tarnowo Podgórne	Wielkopolskie
20	Kościan	Wielkopolskie	Śrem - miasto	Wielkopolskie
19	Kościan	Wielkopolskie	Śrem - obszar wiejski	Wielkopolskie
14	Kościan	Wielkopolskie	Przemęt	Wielkopolskie
99	Kościan	Wielkopolskie	Leszno	Wielkopolskie
573	Kościan	Wielkopolskie	Poznań	Wielkopolskie
37	Krzywiń - miasto	Wielkopolskie	Kościan	Wielkopolskie
33	Krzywiń - miasto	Wielkopolskie	Krzywiń - obszar wiejski	Wielkopolskie
10	Krzywiń - miasto	Wielkopolskie	Kórnik - obszar wiejski	Wielkopolskie
10	Krzywiń - miasto	Wielkopolskie	Śrem - miasto	Wielkopolskie
34	Krzywiń - miasto	Wielkopolskie	Leszno	Wielkopolskie
19	Krzywiń - miasto	Wielkopolskie	Poznań	Wielkopolskie
11	Krzywiń - obszar wiejski	Wielkopolskie	Warszawa	Mazowieckie
11	Krzywiń - obszar wiejski	Wielkopolskie	Kielce	Świętokrzyskie
72	Krzywiń - obszar wiejski	Wielkopolskie	Gostyń - miasto	Wielkopolskie
43	Krzywiń - obszar wiejski	Wielkopolskie	Gostyń - obszar wiejski	Wielkopolskie
14	Krzywiń - obszar wiejski	Wielkopolskie	Piaski	Wielkopolskie
133	Krzywiń - obszar wiejski	Wielkopolskie	Kościan	Wielkopolskie
15	Krzywiń - obszar wiejski	Wielkopolskie	Czempiń - obszar wiejski	Wielkopolskie
77	Krzywiń - obszar wiejski	Wielkopolskie	Kościan	Wielkopolskie
331	Krzywiń - obszar wiejski	Wielkopolskie	Krzywiń - miasto	Wielkopolskie
19	Krzywiń - obszar wiejski	Wielkopolskie	Śmigiel - obszar wiejski	Wielkopolskie
17	Krzywiń - obszar wiejski	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
15	Krzywiń - obszar wiejski	Wielkopolskie	Krzemieniewo	Wielkopolskie
12	Krzywiń - obszar wiejski	Wielkopolskie	Rydzyna - miasto	Wielkopolskie
15	Krzywiń - obszar wiejski	Wielkopolskie	Komorniki	Wielkopolskie
40	Krzywiń - obszar wiejski	Wielkopolskie	Kórnik - obszar wiejski	Wielkopolskie
12	Krzywiń - obszar wiejski	Wielkopolskie	Dolsk - obszar wiejski	Wielkopolskie
99	Krzywiń - obszar wiejski	Wielkopolskie	Śrem - miasto	Wielkopolskie
84	Krzywiń - obszar wiejski	Wielkopolskie	Śrem - obszar wiejski	Wielkopolskie
118	Krzywiń - obszar wiejski	Wielkopolskie	Leszno	Wielkopolskie
126	Krzywiń - obszar wiejski	Wielkopolskie	Poznań	Wielkopolskie
15	Śmigiel - miasto	Wielkopolskie	Olkusz - miasto	Małopolskie
138	Śmigiel - miasto	Wielkopolskie	Kościan	Wielkopolskie
32	Śmigiel - miasto	Wielkopolskie	Kościan	Wielkopolskie
18	Śmigiel - miasto	Wielkopolskie	Krzywiń - miasto	Wielkopolskie
197	Śmigiel - miasto	Wielkopolskie	Śmigiel - obszar wiejski	Wielkopolskie
35	Śmigiel - miasto	Wielkopolskie	Lipno	Wielkopolskie
12	Śmigiel - miasto	Wielkopolskie	Święciechowa	Wielkopolskie
37	Śmigiel - miasto	Wielkopolskie	Włoszakowice	Wielkopolskie
30	Śmigiel - miasto	Wielkopolskie	Przemęt	Wielkopolskie
131	Śmigiel - miasto	Wielkopolskie	Leszno	Wielkopolskie
81	Śmigiel - miasto	Wielkopolskie	Poznań	Wielkopolskie
30	Śmigiel - obszar wiejski	Wielkopolskie	Olkusz - miasto	Małopolskie
14	Śmigiel - obszar wiejski	Wielkopolskie	Warszawa	Mazowieckie
16	Śmigiel - obszar wiejski	Wielkopolskie	Wysokie Mazowieckie	Podlaskie
18	Śmigiel - obszar wiejski	Wielkopolskie	Grodzisk Wielkopolski - miasto	Wielkopolskie
24	Śmigiel - obszar wiejski	Wielkopolskie	Wielichowo - obszar wiejski	Wielkopolskie
279	Śmigiel - obszar wiejski	Wielkopolskie	Kościan	Wielkopolskie
16	Śmigiel - obszar wiejski	Wielkopolskie	Czempiń - obszar wiejski	Wielkopolskie
137	Śmigiel - obszar wiejski	Wielkopolskie	Kościan	Wielkopolskie
41	Śmigiel - obszar wiejski	Wielkopolskie	Krzywiń - miasto	Wielkopolskie
400	Śmigiel - obszar wiejski	Wielkopolskie	Śmigiel - miasto	Wielkopolskie
63	Śmigiel - obszar wiejski	Wielkopolskie	Lipno	Wielkopolskie
14	Śmigiel - obszar wiejski	Wielkopolskie	Święciechowa	Wielkopolskie
118	Śmigiel - obszar wiejski	Wielkopolskie	Włoszakowice	Wielkopolskie
18	Śmigiel - obszar wiejski	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
29	Śmigiel - obszar wiejski	Wielkopolskie	Komorniki	Wielkopolskie
30	Śmigiel - obszar wiejski	Wielkopolskie	Tarnowo Podgórne	Wielkopolskie
52	Śmigiel - obszar wiejski	Wielkopolskie	Przemęt	Wielkopolskie
270	Śmigiel - obszar wiejski	Wielkopolskie	Leszno	Wielkopolskie
213	Śmigiel - obszar wiejski	Wielkopolskie	Poznań	Wielkopolskie
18	Sulmierzyce	Wielkopolskie	Milicz - miasto	Dolnośląskie
53	Sulmierzyce	Wielkopolskie	Milicz - obszar wiejski	Dolnośląskie
222	Sulmierzyce	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
16	Sulmierzyce	Wielkopolskie	Krotoszyn - obszar wiejski	Wielkopolskie
17	Sulmierzyce	Wielkopolskie	Zduny - miasto	Wielkopolskie
30	Sulmierzyce	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
34	Sulmierzyce	Wielkopolskie	Odolanów - miasto	Wielkopolskie
10	Sulmierzyce	Wielkopolskie	Odolanów - obszar wiejski	Wielkopolskie
18	Sulmierzyce	Wielkopolskie	Poznań	Wielkopolskie
10	Kobylin - miasto	Wielkopolskie	Wrocław	Dolnośląskie
20	Kobylin - miasto	Wielkopolskie	Warszawa	Mazowieckie
15	Kobylin - miasto	Wielkopolskie	Pępowo	Wielkopolskie
63	Kobylin - miasto	Wielkopolskie	Kobylin - obszar wiejski	Wielkopolskie
109	Kobylin - miasto	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
16	Kobylin - miasto	Wielkopolskie	Zduny - miasto	Wielkopolskie
16	Kobylin - miasto	Wielkopolskie	Zduny - obszar wiejski	Wielkopolskie
16	Kobylin - miasto	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
191	Kobylin - miasto	Wielkopolskie	Poznań	Wielkopolskie
31	Kobylin - obszar wiejski	Wielkopolskie	Warszawa	Mazowieckie
27	Kobylin - obszar wiejski	Wielkopolskie	Pępowo	Wielkopolskie
13	Kobylin - obszar wiejski	Wielkopolskie	Jarocin - obszar wiejski	Wielkopolskie
100	Kobylin - obszar wiejski	Wielkopolskie	Kobylin - miasto	Wielkopolskie
179	Kobylin - obszar wiejski	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
21	Kobylin - obszar wiejski	Wielkopolskie	Krotoszyn - obszar wiejski	Wielkopolskie
12	Kobylin - obszar wiejski	Wielkopolskie	Zduny - miasto	Wielkopolskie
10	Kobylin - obszar wiejski	Wielkopolskie	Zduny - obszar wiejski	Wielkopolskie
10	Kobylin - obszar wiejski	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
12	Kobylin - obszar wiejski	Wielkopolskie	Jutrosin - miasto	Wielkopolskie
48	Kobylin - obszar wiejski	Wielkopolskie	Jutrosin - obszar wiejski	Wielkopolskie
227	Kobylin - obszar wiejski	Wielkopolskie	Poznań	Wielkopolskie
10	Koźmin Wielkopolski - miasto	Wielkopolskie	Warszawa	Mazowieckie
10	Koźmin Wielkopolski - miasto	Wielkopolskie	Jaraczewo - obszar wiejski	Wielkopolskie
58	Koźmin Wielkopolski - miasto	Wielkopolskie	Jarocin - miasto	Wielkopolskie
46	Koźmin Wielkopolski - miasto	Wielkopolskie	Jarocin - obszar wiejski	Wielkopolskie
92	Koźmin Wielkopolski - miasto	Wielkopolskie	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie
258	Koźmin Wielkopolski - miasto	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
12	Koźmin Wielkopolski - miasto	Wielkopolskie	Krotoszyn - obszar wiejski	Wielkopolskie
16	Koźmin Wielkopolski - miasto	Wielkopolskie	Rozdrażew	Wielkopolskie
19	Koźmin Wielkopolski - miasto	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
43	Koźmin Wielkopolski - miasto	Wielkopolskie	Dobrzyca - miasto	Wielkopolskie
11	Koźmin Wielkopolski - miasto	Wielkopolskie	Dobrzyca - obszar wiejski	Wielkopolskie
23	Koźmin Wielkopolski - miasto	Wielkopolskie	Kalisz	Wielkopolskie
80	Koźmin Wielkopolski - miasto	Wielkopolskie	Poznań	Wielkopolskie
50	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie	Jarocin - miasto	Wielkopolskie
88	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie	Jarocin - obszar wiejski	Wielkopolskie
438	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie	Koźmin Wielkopolski - miasto	Wielkopolskie
193	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
16	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie	Krotoszyn - obszar wiejski	Wielkopolskie
16	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie	Rozdrażew	Wielkopolskie
30	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie	Dobrzyca - miasto	Wielkopolskie
19	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie	Dobrzyca - obszar wiejski	Wielkopolskie
78	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie	Poznań	Wielkopolskie
22	Krotoszyn - miasto	Wielkopolskie	Cieszków	Dolnośląskie
21	Krotoszyn - miasto	Wielkopolskie	Milicz - miasto	Dolnośląskie
11	Krotoszyn - miasto	Wielkopolskie	Milicz - obszar wiejski	Dolnośląskie
33	Krotoszyn - miasto	Wielkopolskie	Wrocław	Dolnośląskie
56	Krotoszyn - miasto	Wielkopolskie	Warszawa	Mazowieckie
16	Krotoszyn - miasto	Wielkopolskie	Pogorzela - miasto	Wielkopolskie
21	Krotoszyn - miasto	Wielkopolskie	Jarocin - miasto	Wielkopolskie
35	Krotoszyn - miasto	Wielkopolskie	Jarocin - obszar wiejski	Wielkopolskie
23	Krotoszyn - miasto	Wielkopolskie	Sulmierzyce	Wielkopolskie
28	Krotoszyn - miasto	Wielkopolskie	Kobylin - miasto	Wielkopolskie
22	Krotoszyn - miasto	Wielkopolskie	Kobylin - obszar wiejski	Wielkopolskie
125	Krotoszyn - miasto	Wielkopolskie	Koźmin Wielkopolski - miasto	Wielkopolskie
19	Krotoszyn - miasto	Wielkopolskie	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie
212	Krotoszyn - miasto	Wielkopolskie	Krotoszyn - obszar wiejski	Wielkopolskie
47	Krotoszyn - miasto	Wielkopolskie	Rozdrażew	Wielkopolskie
172	Krotoszyn - miasto	Wielkopolskie	Zduny - miasto	Wielkopolskie
118	Krotoszyn - miasto	Wielkopolskie	Zduny - obszar wiejski	Wielkopolskie
90	Krotoszyn - miasto	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
17	Krotoszyn - miasto	Wielkopolskie	Dobrzyca - miasto	Wielkopolskie
10	Krotoszyn - miasto	Wielkopolskie	Komorniki	Wielkopolskie
18	Krotoszyn - miasto	Wielkopolskie	Kalisz	Wielkopolskie
260	Krotoszyn - miasto	Wielkopolskie	Poznań	Wielkopolskie
20	Krotoszyn - obszar wiejski	Wielkopolskie	Wrocław	Dolnośląskie
21	Krotoszyn - obszar wiejski	Wielkopolskie	Warszawa	Mazowieckie
20	Krotoszyn - obszar wiejski	Wielkopolskie	Jarocin - miasto	Wielkopolskie
21	Krotoszyn - obszar wiejski	Wielkopolskie	Sulmierzyce	Wielkopolskie
34	Krotoszyn - obszar wiejski	Wielkopolskie	Koźmin Wielkopolski - miasto	Wielkopolskie
10	Krotoszyn - obszar wiejski	Wielkopolskie	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie
1369	Krotoszyn - obszar wiejski	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
15	Krotoszyn - obszar wiejski	Wielkopolskie	Rozdrażew	Wielkopolskie
44	Krotoszyn - obszar wiejski	Wielkopolskie	Zduny - miasto	Wielkopolskie
20	Krotoszyn - obszar wiejski	Wielkopolskie	Zduny - obszar wiejski	Wielkopolskie
75	Krotoszyn - obszar wiejski	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
10	Krotoszyn - obszar wiejski	Wielkopolskie	Raszków - obszar wiejski	Wielkopolskie
18	Krotoszyn - obszar wiejski	Wielkopolskie	Kalisz	Wielkopolskie
117	Krotoszyn - obszar wiejski	Wielkopolskie	Poznań	Wielkopolskie
11	Rozdrażew	Wielkopolskie	Wrocław	Dolnośląskie
12	Rozdrażew	Wielkopolskie	Jarocin - obszar wiejski	Wielkopolskie
77	Rozdrażew	Wielkopolskie	Koźmin Wielkopolski - miasto	Wielkopolskie
17	Rozdrażew	Wielkopolskie	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie
344	Rozdrażew	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
27	Rozdrażew	Wielkopolskie	Krotoszyn - obszar wiejski	Wielkopolskie
12	Rozdrażew	Wielkopolskie	Zduny - miasto	Wielkopolskie
12	Rozdrażew	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
39	Rozdrażew	Wielkopolskie	Dobrzyca - miasto	Wielkopolskie
44	Rozdrażew	Wielkopolskie	Dobrzyca - obszar wiejski	Wielkopolskie
10	Rozdrażew	Wielkopolskie	Pleszew - miasto	Wielkopolskie
30	Rozdrażew	Wielkopolskie	Poznań	Wielkopolskie
23	Zduny - miasto	Wielkopolskie	Cieszków	Dolnośląskie
26	Zduny - miasto	Wielkopolskie	Milicz - miasto	Dolnośląskie
16	Zduny - miasto	Wielkopolskie	Milicz - obszar wiejski	Dolnośląskie
15	Zduny - miasto	Wielkopolskie	Wrocław	Dolnośląskie
12	Zduny - miasto	Wielkopolskie	Warszawa	Mazowieckie
17	Zduny - miasto	Wielkopolskie	Koźmin Wielkopolski - miasto	Wielkopolskie
460	Zduny - miasto	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
12	Zduny - miasto	Wielkopolskie	Rozdrażew	Wielkopolskie
43	Zduny - miasto	Wielkopolskie	Zduny - obszar wiejski	Wielkopolskie
63	Zduny - miasto	Wielkopolskie	Poznań	Wielkopolskie
10	Zduny - obszar wiejski	Wielkopolskie	Kobylin - miasto	Wielkopolskie
14	Zduny - obszar wiejski	Wielkopolskie	Kobylin - obszar wiejski	Wielkopolskie
251	Zduny - obszar wiejski	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
70	Zduny - obszar wiejski	Wielkopolskie	Zduny - miasto	Wielkopolskie
36	Zduny - obszar wiejski	Wielkopolskie	Poznań	Wielkopolskie
29	Krzemieniewo	Wielkopolskie	Warszawa	Mazowieckie
96	Krzemieniewo	Wielkopolskie	Gostyń - miasto	Wielkopolskie
34	Krzemieniewo	Wielkopolskie	Gostyń - obszar wiejski	Wielkopolskie
27	Krzemieniewo	Wielkopolskie	Poniec - miasto	Wielkopolskie
11	Krzemieniewo	Wielkopolskie	Poniec - obszar wiejski	Wielkopolskie
11	Krzemieniewo	Wielkopolskie	Kościan	Wielkopolskie
14	Krzemieniewo	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
40	Krzemieniewo	Wielkopolskie	Lipno	Wielkopolskie
38	Krzemieniewo	Wielkopolskie	Osieczna - miasto	Wielkopolskie
102	Krzemieniewo	Wielkopolskie	Osieczna - obszar wiejski	Wielkopolskie
60	Krzemieniewo	Wielkopolskie	Rydzyna - miasto	Wielkopolskie
41	Krzemieniewo	Wielkopolskie	Rydzyna - obszar wiejski	Wielkopolskie
41	Krzemieniewo	Wielkopolskie	Święciechowa	Wielkopolskie
10	Krzemieniewo	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
19	Krzemieniewo	Wielkopolskie	Kostrzyn - miasto	Wielkopolskie
651	Krzemieniewo	Wielkopolskie	Leszno	Wielkopolskie
103	Krzemieniewo	Wielkopolskie	Poznań	Wielkopolskie
12	Lipno	Wielkopolskie	Wschowa - miasto	Lubuskie
28	Lipno	Wielkopolskie	Warszawa	Mazowieckie
15	Lipno	Wielkopolskie	Kościan	Wielkopolskie
23	Lipno	Wielkopolskie	Śmigiel - miasto	Wielkopolskie
22	Lipno	Wielkopolskie	Śmigiel - obszar wiejski	Wielkopolskie
14	Lipno	Wielkopolskie	Osieczna - miasto	Wielkopolskie
22	Lipno	Wielkopolskie	Osieczna - obszar wiejski	Wielkopolskie
48	Lipno	Wielkopolskie	Rydzyna - miasto	Wielkopolskie
12	Lipno	Wielkopolskie	Rydzyna - obszar wiejski	Wielkopolskie
55	Lipno	Wielkopolskie	Święciechowa	Wielkopolskie
33	Lipno	Wielkopolskie	Włoszakowice	Wielkopolskie
18	Lipno	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
737	Lipno	Wielkopolskie	Leszno	Wielkopolskie
110	Lipno	Wielkopolskie	Poznań	Wielkopolskie
12	Osieczna - miasto	Wielkopolskie	Lipno	Wielkopolskie
22	Osieczna - miasto	Wielkopolskie	Osieczna - obszar wiejski	Wielkopolskie
25	Osieczna - miasto	Wielkopolskie	Rydzyna - miasto	Wielkopolskie
10	Osieczna - miasto	Wielkopolskie	Rydzyna - obszar wiejski	Wielkopolskie
13	Osieczna - miasto	Wielkopolskie	Święciechowa	Wielkopolskie
202	Osieczna - miasto	Wielkopolskie	Leszno	Wielkopolskie
28	Osieczna - miasto	Wielkopolskie	Poznań	Wielkopolskie
29	Osieczna - obszar wiejski	Wielkopolskie	Warszawa	Mazowieckie
24	Osieczna - obszar wiejski	Wielkopolskie	Gostyń - miasto	Wielkopolskie
30	Osieczna - obszar wiejski	Wielkopolskie	Krzywiń - miasto	Wielkopolskie
12	Osieczna - obszar wiejski	Wielkopolskie	Śmigiel - obszar wiejski	Wielkopolskie
11	Osieczna - obszar wiejski	Wielkopolskie	Koźmin Wielkopolski - obszar wiejski	Wielkopolskie
51	Osieczna - obszar wiejski	Wielkopolskie	Krzemieniewo	Wielkopolskie
33	Osieczna - obszar wiejski	Wielkopolskie	Lipno	Wielkopolskie
94	Osieczna - obszar wiejski	Wielkopolskie	Osieczna - miasto	Wielkopolskie
63	Osieczna - obszar wiejski	Wielkopolskie	Rydzyna - miasto	Wielkopolskie
27	Osieczna - obszar wiejski	Wielkopolskie	Rydzyna - obszar wiejski	Wielkopolskie
37	Osieczna - obszar wiejski	Wielkopolskie	Święciechowa	Wielkopolskie
11	Osieczna - obszar wiejski	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
587	Osieczna - obszar wiejski	Wielkopolskie	Leszno	Wielkopolskie
86	Osieczna - obszar wiejski	Wielkopolskie	Poznań	Wielkopolskie
12	Rydzyna - miasto	Wielkopolskie	Warszawa	Mazowieckie
63	Rydzyna - miasto	Wielkopolskie	Rydzyna - obszar wiejski	Wielkopolskie
12	Rydzyna - miasto	Wielkopolskie	Święciechowa	Wielkopolskie
231	Rydzyna - miasto	Wielkopolskie	Leszno	Wielkopolskie
42	Rydzyna - miasto	Wielkopolskie	Poznań	Wielkopolskie
20	Rydzyna - obszar wiejski	Wielkopolskie	Warszawa	Mazowieckie
16	Rydzyna - obszar wiejski	Wielkopolskie	Gostyń - miasto	Wielkopolskie
15	Rydzyna - obszar wiejski	Wielkopolskie	Poniec - miasto	Wielkopolskie
31	Rydzyna - obszar wiejski	Wielkopolskie	Krzemieniewo	Wielkopolskie
11	Rydzyna - obszar wiejski	Wielkopolskie	Lipno	Wielkopolskie
32	Rydzyna - obszar wiejski	Wielkopolskie	Osieczna - obszar wiejski	Wielkopolskie
228	Rydzyna - obszar wiejski	Wielkopolskie	Rydzyna - miasto	Wielkopolskie
27	Rydzyna - obszar wiejski	Wielkopolskie	Święciechowa	Wielkopolskie
11	Rydzyna - obszar wiejski	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
10	Rydzyna - obszar wiejski	Wielkopolskie	Komorniki	Wielkopolskie
13	Rydzyna - obszar wiejski	Wielkopolskie	Rawicz - miasto	Wielkopolskie
15	Rydzyna - obszar wiejski	Wielkopolskie	Rawicz - obszar wiejski	Wielkopolskie
528	Rydzyna - obszar wiejski	Wielkopolskie	Leszno	Wielkopolskie
57	Rydzyna - obszar wiejski	Wielkopolskie	Poznań	Wielkopolskie
18	Święciechowa	Wielkopolskie	Wschowa - miasto	Lubuskie
28	Święciechowa	Wielkopolskie	Warszawa	Mazowieckie
10	Święciechowa	Wielkopolskie	Śmigiel - obszar wiejski	Wielkopolskie
11	Święciechowa	Wielkopolskie	Krotoszyn - miasto	Wielkopolskie
62	Święciechowa	Wielkopolskie	Lipno	Wielkopolskie
10	Święciechowa	Wielkopolskie	Osieczna - miasto	Wielkopolskie
11	Święciechowa	Wielkopolskie	Osieczna - obszar wiejski	Wielkopolskie
33	Święciechowa	Wielkopolskie	Rydzyna - miasto	Wielkopolskie
11	Święciechowa	Wielkopolskie	Rydzyna - obszar wiejski	Wielkopolskie
130	Święciechowa	Wielkopolskie	Włoszakowice	Wielkopolskie
12	Święciechowa	Wielkopolskie	Ostrów Wielkopolski	Wielkopolskie
24	Święciechowa	Wielkopolskie	Rawicz - obszar wiejski	Wielkopolskie
17	Święciechowa	Wielkopolskie	Przemęt	Wielkopolskie
767	Święciechowa	Wielkopolskie	Leszno	Wielkopolskie
96	Święciechowa	Wielkopolskie	Poznań	Wielkopolskie
22	Wijewo	Wielkopolskie	Sława - miasto	Lubuskie
60	Wijewo	Wielkopolskie	Sława - obszar wiejski	Lubuskie
