number-of-people	living-municipality	living-voivodeship	working-municipality	working-voivodeship
13	Kolbuszowa - obszar wiejski	Podkarpackie	Tuszów Narodowy	Podkarpackie
11	Kolbuszowa - obszar wiejski	Podkarpackie	Sędziszów Małopolski - miasto	Podkarpackie
23	Kolbuszowa - obszar wiejski	Podkarpackie	Głogów Małopolski - miasto	Podkarpackie
74	Kolbuszowa - obszar wiejski	Podkarpackie	Głogów Małopolski - obszar wiejski	Podkarpackie
23	Kolbuszowa - obszar wiejski	Podkarpackie	Trzebownisko	Podkarpackie
370	Kolbuszowa - obszar wiejski	Podkarpackie	Rzeszów	Podkarpackie
11	Kolbuszowa - obszar wiejski	Podkarpackie	Katowice	Śląskie
17	Kolbuszowa - obszar wiejski	Podkarpackie	Jonkowo	Warmińsko-mazurskie
34	Majdan Królewski	Podkarpackie	Warszawa	Mazowieckie
33	Majdan Królewski	Podkarpackie	Cmolas	Podkarpackie
103	Majdan Królewski	Podkarpackie	Kolbuszowa - miasto	Podkarpackie
25	Majdan Królewski	Podkarpackie	Kolbuszowa - obszar wiejski	Podkarpackie
15	Majdan Królewski	Podkarpackie	Dzikowiec	Podkarpackie
57	Majdan Królewski	Podkarpackie	Mielec	Podkarpackie
107	Majdan Królewski	Podkarpackie	Stalowa Wola	Podkarpackie
455	Majdan Królewski	Podkarpackie	Nowa Dęba - miasto	Podkarpackie
123	Majdan Królewski	Podkarpackie	Rzeszów	Podkarpackie
48	Majdan Królewski	Podkarpackie	Tarnobrzeg	Podkarpackie
11	Niwiska	Podkarpackie	Warszawa	Mazowieckie
11	Niwiska	Podkarpackie	Dębica	Podkarpackie
12	Niwiska	Podkarpackie	Cmolas	Podkarpackie
