"","year","month","day","temperature","precipitation","precipitation_type"
"370",2019,4,5,12.2,0,"dry"
"371",2019,4,6,11.8,0,"dry"
"372",2019,4,7,11.1,0,"dry"
"373",2019,4,8,12.3,0,"dry"
"374",2019,4,9,7,0,"dry"
"375",2019,4,10,3.8,0,"dry"
"376",2019,4,11,4.1,0,"dry"
"377",2019,4,12,4.1,0,"rain"
"378",2019,4,13,4.4,0.6,"snow"
"379",2019,4,14,7.7,0,"dry"
"380",2019,4,15,7.2,0,"dry"
"381",2019,4,16,6,1.1,"rain"
"382",2019,4,17,11.7,0,"dry"
"383",2019,4,18,13.8,0,"dry"
"384",2019,4,19,14.3,0,"dry"
"385",2019,4,20,13,0,"dry"
"386",2019,4,21,10.8,0.9,"rain"
"387",2019,4,22,11.5,0,"dry"
"388",2019,4,23,14,0,"dry"
"389",2019,4,24,15.2,0,"dry"
"390",2019,4,25,18.9,0,"dry"
"391",2019,4,26,20.2,0,"dry"
"392",2019,4,27,16.2,0,"dry"
"393",2019,4,28,11.5,0.3,"rain"
"394",2019,4,29,15.8,0.1,"rain"
"395",2019,4,30,15.2,0,"dry"
"396",2019,5,1,13.5,0,"dry"
"397",2019,5,2,12,0.5,"rain"
"398",2019,5,3,10.5,0,"rain"
"399",2019,5,4,10.1,0.7,"rain"
"400",2019,5,5,7.8,0,"dry"
"401",2019,5,6,9,0,"dry"
"402",2019,5,7,9.8,0,"dry"
"403",2019,5,8,10.4,0,"dry"
"404",2019,5,9,12.6,0.2,"rain"
"405",2019,5,10,12.7,0.3,"rain"
"406",2019,5,11,14.5,0,"rain"
"407",2019,5,12,15.1,2.7,"rain"
"408",2019,5,13,8.5,2,"rain"
"409",2019,5,14,7.2,5,"rain"
"410",2019,5,15,10.2,11.2,"rain"
"411",2019,5,16,15.4,11,"rain"
"412",2019,5,17,17.3,16,"rain"
"413",2019,5,18,18,14.8,"rain"
"414",2019,5,19,18.7,1.3,"rain"
"415",2019,5,20,19.8,3.5,"rain"
"416",2019,5,21,18.2,1,"rain"
"417",2019,5,22,15.8,0.9,"rain"
"418",2019,5,23,16.9,0.7,"rain"
"419",2019,5,24,16.4,0,"dry"
"420",2019,5,25,18.1,0,"dry"
"421",2019,5,26,16.3,0,"dry"
"422",2019,5,27,20.3,1.7,"rain"
"423",2019,5,28,18.3,13,"rain"
"424",2019,5,29,13.3,0,"rain"
"425",2019,5,30,13.7,0,"dry"
"426",2019,5,31,17.9,0,"dry"
"427",2019,6,1,20.2,0,"dry"
"428",2019,6,2,21.8,4.4,"rain"
"429",2019,6,3,22.2,0,"dry"
"430",2019,6,4,23.7,0,"dry"
"431",2019,6,5,24.3,0,"dry"
"432",2019,6,6,23.6,0,"dry"
"433",2019,6,7,23.3,0,"dry"
"434",2019,6,8,23.5,0,"rain"
"435",2019,6,9,21.8,0,"dry"
"436",2019,6,10,23.9,0,"dry"
"437",2019,6,11,27.2,0,"dry"
"438",2019,6,12,27.6,0,"dry"
"439",2019,6,13,27.2,6.4,"rain"
"440",2019,6,14,23.7,0,"dry"
"441",2019,6,15,26.5,0,"dry"
"442",2019,6,16,24.1,0,"dry"
"443",2019,6,17,20.1,0,"dry"
"444",2019,6,18,22.3,0,"dry"
"445",2019,6,19,23.4,1,"rain"
"446",2019,6,20,24.7,2.7,"rain"
"447",2019,6,21,23.4,0.1,"rain"
"448",2019,6,22,21.7,0,"dry"
"449",2019,6,23,21.1,0,"dry"
"450",2019,6,24,23.3,0,"dry"
"451",2019,6,25,25.9,0,"dry"
"452",2019,6,26,29.5,0,"dry"
"453",2019,6,27,24.1,0,"dry"
"454",2019,6,28,19.9,0,"dry"
"455",2019,6,29,21.5,0,"dry"
"456",2019,6,30,27.4,0,"dry"
"457",2019,7,1,26.9,1.6,"rain"
"458",2019,7,2,21.4,0,"dry"
"459",2019,7,3,17.2,0,"dry"
"460",2019,7,4,17.4,0,"dry"
"461",2019,7,5,17.1,1.1,"rain"
"462",2019,7,6,16.8,2.6,"rain"
"463",2019,7,7,17.5,0,"dry"
"464",2019,7,8,15.6,0,"dry"
"465",2019,7,9,15.4,10.7,"rain"
"466",2019,7,10,16.2,0,"rain"
"467",2019,7,11,17,0,"dry"
"468",2019,7,12,19.4,0,"dry"
"469",2019,7,13,18.9,1.7,"rain"
"470",2019,7,14,19.1,0,"dry"
"471",2019,7,15,19.6,0,"dry"
"472",2019,7,16,16.6,4.1,"rain"
"473",2019,7,17,17,1.4,"rain"
"474",2019,7,18,18.6,0,"dry"
"475",2019,7,19,21.9,1,"rain"
"476",2019,7,20,23.4,0.1,"rain"
"477",2019,7,21,22.9,0.6,"rain"
"478",2019,7,22,21.6,0,"dry"
"479",2019,7,23,20.1,0,"dry"
"480",2019,7,24,21.8,0,"rain"
"481",2019,7,25,24,0,"dry"
"482",2019,7,26,21.5,2.1,"rain"
"483",2019,7,27,21.3,3.7,"rain"
"484",2019,7,28,25.3,0,"dry"
"485",2019,7,29,25.1,6.9,"rain"
"486",2019,7,30,23.8,1,"rain"
"487",2019,7,31,20.9,0,"dry"
"488",2019,8,1,19.9,0,"dry"
"489",2019,8,2,17.9,0,"dry"
"490",2019,8,3,18.9,0.2,"rain"
"491",2019,8,4,20,0,"dry"
"492",2019,8,5,20.1,0,"dry"
"493",2019,8,6,23.3,0.1,"rain"
"494",2019,8,7,23.1,8.8,"rain"
"495",2019,8,8,21.6,2.6,"rain"
"496",2019,8,9,20.9,0,"dry"
"497",2019,8,10,20.9,0,"dry"
"498",2019,8,11,23.1,0,"dry"
"499",2019,8,12,23.9,1.9,"rain"
"500",2019,8,13,21.1,0,"rain"
"501",2019,8,14,18,0.6,"rain"
"502",2019,8,15,17.8,0,"dry"
"503",2019,8,16,18.9,0,"dry"
"504",2019,8,17,20.6,0,"dry"
"505",2019,8,18,23.1,0,"dry"
"506",2019,8,19,23.9,2.2,"rain"
"507",2019,8,20,22.2,20.3,"rain"
"508",2019,8,21,18.7,0.2,"rain"
"509",2019,8,22,18.7,0,"dry"
"510",2019,8,23,19.8,0,"dry"
"511",2019,8,24,20.7,0,"dry"
"512",2019,8,25,21.9,0,"dry"
"513",2019,8,26,24.3,0,"dry"
"514",2019,8,27,25,0,"dry"
"515",2019,8,28,25.3,0.8,"rain"
"516",2019,8,29,25.8,1.2,"rain"
"517",2019,8,30,24.6,0,"dry"
"518",2019,8,31,23.8,0,"dry"
"519",2019,9,1,23.7,0,"dry"
"520",2019,9,2,20.9,10.5,"rain"
"521",2019,9,3,17.1,0,"dry"
"522",2019,9,4,18,0,"dry"
"523",2019,9,5,19.1,0,"dry"
"524",2019,9,6,16.9,0,"dry"
"525",2019,9,7,17.6,2.3,"rain"
"526",2019,9,8,16.3,14.8,"rain"
"527",2019,9,9,19.5,1.4,"rain"
"528",2019,9,10,15.8,0,"dry"
"529",2019,9,11,16.5,0,"dry"
"530",2019,9,12,17.9,0,"dry"
"531",2019,9,13,18.1,0.3,"rain"
"532",2019,9,14,13.9,0,"dry"
"533",2019,9,15,14.5,0,"dry"
"534",2019,9,16,15.5,0,"dry"
"535",2019,9,17,10.7,8.1,"rain"
"536",2019,9,18,9.7,2.5,"rain"
"537",2019,9,19,9.3,3.8,"rain"
"538",2019,9,20,8.7,0.7,"rain"
"539",2019,9,21,11.9,0,"dry"
"540",2019,9,22,13,0,"dry"
"541",2019,9,23,12.1,0,"dry"
"542",2019,9,24,9.7,0,"dry"
"543",2019,9,25,11.3,3,"rain"
"544",2019,9,26,14,1,"rain"
"545",2019,9,27,15.2,8,"rain"
"546",2019,9,28,15.2,2.2,"rain"
"547",2019,9,29,14.8,3,"rain"
"548",2019,9,30,13.7,15,"rain"
"549",2019,10,1,13.9,0,"dry"
"550",2019,10,2,13.4,6,"rain"
"551",2019,10,3,9.7,0,"dry"
"552",2019,10,4,9.2,0,"dry"
"553",2019,10,5,9.4,0,"dry"
"554",2019,10,6,4.6,0,"dry"
