"","endTime","artistName","trackName","msPlayed","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"355","2020-12-29 14:04","Joy Division","Candidate - 2007 Remaster",187617,0.586,0.27,11,-13.168,0,0.0363,0.0117,0.757,0.0943,0.227,134.819,"audio_features","7fFTRgP7x9rsGPIvnfkthJ","spotify:track:7fFTRgP7x9rsGPIvnfkthJ","https://api.spotify.com/v1/tracks/7fFTRgP7x9rsGPIvnfkthJ","https://api.spotify.com/v1/audio-analysis/7fFTRgP7x9rsGPIvnfkthJ",187880,4
"356","2020-12-29 14:09","Joy Division","Insight - 2007 Remaster",266100,0.636,0.476,2,-12.582,1,0.0348,0.0211,0.805,0.522,0.164,131.22,"audio_features","7oNu4gShXbbM1GBJtfJucq","spotify:track:7oNu4gShXbbM1GBJtfJucq","https://api.spotify.com/v1/tracks/7oNu4gShXbbM1GBJtfJucq","https://api.spotify.com/v1/audio-analysis/7oNu4gShXbbM1GBJtfJucq",266280,4
"357","2020-12-29 14:14","Joy Division","New Dawn Fades - 2007 Remaster",291363,0.387,0.525,2,-9.634,1,0.035,0.00236,0.769,0.251,0.258,78.339,"audio_features","5EabbLQZbdhCqG6aK9PFLU","spotify:track:5EabbLQZbdhCqG6aK9PFLU","https://api.spotify.com/v1/tracks/5EabbLQZbdhCqG6aK9PFLU","https://api.spotify.com/v1/audio-analysis/5EabbLQZbdhCqG6aK9PFLU",291706,4
"358","2020-12-29 14:18","Joy Division","She's Lost Control - 2007 Remaster",236750,0.485,0.846,11,-7.63,0,0.0528,0.0157,0.0287,0.0766,0.743,144.246,"audio_features","0rcLhYRihks3t4lFPtHhQV","spotify:track:0rcLhYRihks3t4lFPtHhQV","https://api.spotify.com/v1/tracks/0rcLhYRihks3t4lFPtHhQV","https://api.spotify.com/v1/audio-analysis/0rcLhYRihks3t4lFPtHhQV",237013,4
"359","2020-12-29 14:22","Joy Division","Shadowplay - 2007 Remaster",233546,0.433,0.756,9,-7.855,1,0.0565,0.000997,0.761,0.124,0.117,145.443,"audio_features","4ZuC5MfGjRQs3pZtPxqMYP","spotify:track:4ZuC5MfGjRQs3pZtPxqMYP","https://api.spotify.com/v1/tracks/4ZuC5MfGjRQs3pZtPxqMYP","https://api.spotify.com/v1/audio-analysis/4ZuC5MfGjRQs3pZtPxqMYP",233720,4
"360","2020-12-29 14:24","Joy Division","Wilderness - 2007 Remaster",159846,0.584,0.651,0,-8.609,1,0.0337,0.00144,0.893,0.194,0.492,120.023,"audio_features","69uyiCMqXdr7qVYGHL4I8t","spotify:track:69uyiCMqXdr7qVYGHL4I8t","https://api.spotify.com/v1/tracks/69uyiCMqXdr7qVYGHL4I8t","https://api.spotify.com/v1/audio-analysis/69uyiCMqXdr7qVYGHL4I8t",160173,4
"361","2020-12-29 14:26","Joy Division","Interzone - 2007 Remaster",116431,0.478,0.783,9,-7.346,1,0.0419,0.000126,0.582,0.225,0.746,156.337,"audio_features","3iMq9V0Ece9ubjWAYVcMwj","spotify:track:3iMq9V0Ece9ubjWAYVcMwj","https://api.spotify.com/v1/tracks/3iMq9V0Ece9ubjWAYVcMwj","https://api.spotify.com/v1/audio-analysis/3iMq9V0Ece9ubjWAYVcMwj",137653,4
"362","2020-12-30 21:53","Eartheater","Airborne Ashes",206886,0.177,0.337,4,-11.162,0,0.0382,0.886,0.918,0.0892,0.196,180.947,"audio_features","5HfgoFRnFuuHMM67rB9sdC","spotify:track:5HfgoFRnFuuHMM67rB9sdC","https://api.spotify.com/v1/tracks/5HfgoFRnFuuHMM67rB9sdC","https://api.spotify.com/v1/audio-analysis/5HfgoFRnFuuHMM67rB9sdC",206887,3
"363","2020-12-30 21:57","Eartheater","Metallic Taste of Patience",230009,0.226,0.296,7,-11.572,0,0.0385,0.97,0.955,0.106,0.0352,88.616,"audio_features","4NkfSizDcCrFZoUzvEYJup","spotify:track:4NkfSizDcCrFZoUzvEYJup","https://api.spotify.com/v1/tracks/4NkfSizDcCrFZoUzvEYJup","https://api.spotify.com/v1/audio-analysis/4NkfSizDcCrFZoUzvEYJup",230010,3
"364","2020-12-30 22:51","Eartheater","Below The Clavicle",216820,0.409,0.276,4,-10.627,0,0.0306,0.907,0.0397,0.0666,0.105,120.314,"audio_features","7MyZeEm6keIU4vNypB8nxC","spotify:track:7MyZeEm6keIU4vNypB8nxC","https://api.spotify.com/v1/tracks/7MyZeEm6keIU4vNypB8nxC","https://api.spotify.com/v1/audio-analysis/7MyZeEm6keIU4vNypB8nxC",238559,4
